MESA;DEPARTAMENTO;ID_DEPARTAMENTO;MUNICIPIO;ID_MUNICIPIO;CENTRO_DE_VOTACIÓN;PADRÓN;UNE;AZUL;VALOR UNIONISTA;CABAL;TODOS;VAMOS;PHG;PR;PIN;ELEFANTE;VICTORIA;SEMILLA;FCN-NACION;PPN;UR;URNG-MAIZ WINAQ;CREO;BIEN;VIVA;MI FAMILIA;CAMBIO;VOS;VÁLIDOS;NULOS;BLANCO;EMITIDOS;INVÁLIDOS;TOTAL;IMPUGNACIONES;PAPELETAS-RECIBIDAS;PAPELETAS-NO-USADAS;PRES-VOTAR;VALIDOS_CALCULADO;EMITIDOS_CALCULADO;TOTAL_CALCULADO;OBSERVACIONES;CONTABILIZADA;CÓDIGO_INTEGRIDAD;FECHA_HORA_PUBLICACIÓN;DIGITALIZACIÓN
6880;El Progreso;4;Morazán;2;750;400;18;0;19;2;0;23;2;0;1;0;1;7;2;0;1;1;0;6;18;2;0;7;110;85;15;210;0;210;--;400;190;210;110;210;210;Algún campo sin dato;1;4641f30bc6009a88dbc0b2c2eeeb89145460b730872f067c4e8f31b8ee5f3ad6;25/06/23 20:24;ESCANER
6881;El Progreso;4;Morazán;2;750;400;19;0;20;4;1;22;3;0;0;2;3;15;1;0;1;0;0;6;18;1;0;6;122;76;20;218;0;218;--;400;182;218;122;218;218;Algún campo sin dato;1;0e8fbfff64fce6b37655d0b7628e2ddc3c2e7d9e9a9ed73d4dcf5f349e80f1b8;25/06/23 20:19;ESCANER
6882;El Progreso;4;Morazán;2;750;400;20;0;31;5;0;37;1;1;0;0;1;14;0;0;0;1;0;3;13;1;0;3;131;68;12;211;0;211;--;400;189;211;131;211;211;Algún campo sin dato;1;f3304f76e0bb0845840740057de3cf0137e5fe2cca8a693b486654c88f3717c8;25/06/23 20:48;ESCANER
6883;El Progreso;4;Morazán;2;751;400;16;0;31;4;0;42;1;0;0;0;1;40;1;0;0;0;0;2;18;0;0;3;159;75;10;244;0;244;--;400;156;244;159;244;244;Algún campo sin dato;1;a9c60771ecfe3a02a92530edfb0e9e297114e620490c35dc35db2a55c7c8b91f;25/06/23 20:43;ESCANER
6884;El Progreso;4;Morazán;2;751;400;28;1;25;5;2;22;0;1;0;0;1;24;1;0;0;1;0;2;20;0;0;2;135;76;25;236;0;236;--;400;164;236;135;236;236;Algún campo sin dato;1;3094e150937e899139b208aa7c28eff99e3411fcc191981c2502728a2737f17d;25/06/23 20:39;ESCANER
6885;El Progreso;4;Morazán;2;751;337;13;0;16;4;0;17;2;0;0;0;0;29;0;0;0;1;0;2;4;1;0;7;96;76;12;184;0;184;--;345;161;184;96;184;184;Algún campo sin dato;1;3b5fb8c110f6a36947d995626bf4402e7c399a2a2791ccf3d354e1c04672f4e2;25/06/23 20:28;ESCANER
6886;El Progreso;4;Morazán;2;751;337;19;2;13;2;1;7;0;0;0;0;1;21;1;0;0;2;0;2;10;1;0;2;84;65;13;162;--;--;--;338;176;162;84;162;162;Algún campo sin dato;1;754d607d02dd9eb323d3081a4b0ae478858076472a74b7f39e633cbb4f97f800;25/06/23 21:00;ESCANER
6887;El Progreso;4;Morazán;2;752;380;41;0;17;2;1;31;0;0;0;0;0;1;1;0;1;1;1;1;15;3;1;1;118;71;50;239;1;240;--;377;137;240;118;239;240;Algún campo sin dato;1;bedd55f81e3eaad81ef1fe71464cf88f2a0964d1b70818fa901efedd7b44595f;25/06/23 22:55;ESCANER
6888;El Progreso;4;Morazán;2;752;380;41;0;16;8;3;26;0;2;0;0;1;3;0;1;0;1;1;1;22;2;0;0;128;53;92;273;0;273;--;378;104;274;128;273;273;Algún campo sin dato;1;29c401a09cb640d04f066163a2f6afbcfae36edbaa4bac9009df3a54105c603a;25/06/23 20:57;ESCANER
6889;El Progreso;4;Morazán;2;752;380;45;2;13;3;2;32;1;0;1;0;4;4;1;3;0;0;2;1;25;3;0;1;143;62;67;272;0;272;--;380;108;--;143;272;272;Algún campo sin dato;1;16894afb24e60ff8c8443d37974f48ce50d0583069977f50e08df2ec4cc28fd2;25/06/23 19:51;ESCANER
