TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
709,708,99.8589,704,99.2947,4,261838,157877,60.2956

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,BIEN,VALOR UNIONISTA,UNE,WINAQ,VICTORIA,VAMOS,PHG,PPN,TODOS,MLP,U R N G - MAIZ,P A N,UR,CAMBIO,PODEMOS,CREO,FCN-NACION,VIVA,VOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8359,"Santa Rosa",6,"Cuilapa",1,976,400,6,9,10,12,34,6,2,47,2,1,4,0,6,7,0,0,0,1,3,7,3,1,161,35,15,211,--,214,--,400,186,161,211,211,Sumas Asentadas sin cuadrar,1,433d1b2017f9ebb6cc509a242dcea2ac2874cee18270066f22f13b0faab664d9,26/06/2023 01:35:29,ESCANER
8360,"Santa Rosa",6,"Cuilapa",1,976,240,1,3,3,4,33,1,1,27,0,1,0,0,0,1,0,0,0,0,1,4,9,1,90,14,2,106,0,106,--,240,134,90,106,106,Algún campo sin dato,1,7b38505435df09cc0151d16dfa22de9a9ee4781306b1c181cdf8f77dccd53a18,26/06/2023 00:51:26,ESCANER
8361,"Santa Rosa",6,"Cuilapa",1,976,239,5,6,2,7,27,1,0,28,0,1,2,0,2,1,0,0,1,0,0,4,2,2,91,9,6,106,0,106,--,236,130,91,106,106,Algún campo sin dato,1,908c70e6ae28ab1dec88a6c171c8035384b84b0bfb947f5cba7c3d73b9d99931,26/06/2023 01:25:47,ESCANER
8362,"Santa Rosa",6,"Cuilapa",1,977,400,16,1,5,7,90,3,2,35,2,1,3,1,2,2,0,0,0,1,0,8,2,1,182,32,18,232,0,232,--,400,168,182,232,232,Algún campo sin dato,1,6ca66774809f179e34e0606258a42a478444b5b2769386ffa9ae982f3d48001b,26/06/2023 01:13:49,ESCANER
8363,"Santa Rosa",6,"Cuilapa",1,977,289,6,2,7,1,67,0,0,26,1,4,1,1,0,0,0,0,0,0,0,6,0,0,130,25,8,163,0,163,--,286,123,122,155,155,Sumas Asentadas sin cuadrar,1,6fb88dfa5dcbaa96cf7de3e761be5d1d728fcdc14a350b9dc3ca906b8c4b7ed8,26/06/2023 02:50:42,ESCANER
8364,"Santa Rosa",6,"Cuilapa",1,977,289,2,2,4,3,44,0,0,24,0,2,0,0,0,1,0,0,0,1,0,8,2,0,93,16,10,119,0,119,--,289,170,93,119,119,Algún campo sin dato,1,cc319757157fc0acb371285f00db1c92d3de07e3076600781bc3d76676c360cf,26/06/2023 00:34:08,ESCANER
8365,"Santa Rosa",6,"Cuilapa",1,978,400,8,11,4,5,84,1,4,50,1,1,4,1,1,4,0,0,1,1,0,4,3,2,190,36,20,246,4,250,--,400,150,190,246,250,Algún campo sin dato,1,c62212afddebf6286f899e3414195be811c6a843a2afc37c4ef1c8d65ed86940,26/06/2023 00:16:42,ESCANER
8366,"Santa Rosa",6,"Cuilapa",1,978,400,6,7,4,13,69,1,5,54,1,2,1,1,3,4,0,1,1,2,2,9,2,2,190,37,15,242,10,252,--,400,148,190,242,252,Algún campo sin dato,1,c25e1d88e429e3e8e95c6cb7fd4cf4467a47be9d3fc372ab0a30055445dc89a1,26/06/2023 02:35:35,ESCANER
8367,"Santa Rosa",6,"Cuilapa",1,978,365,7,6,3,11,49,2,1,36,1,1,3,1,2,0,2,0,0,1,1,7,5,0,139,31,11,181,0,181,--,365,184,139,181,181,Algún campo sin dato,1,8beb71757ff1ea620d7e43868d71534dc8abe4bfd985b86b0f286d588808fe11,25/06/2023 23:59:33,ESCANER
8368,"Santa Rosa",6,"Cuilapa",1,978,364,10,1,5,11,48,5,2,40,0,1,1,1,1,2,2,2,2,1,0,6,6,0,147,18,7,172,0,172,--,364,192,147,172,172,Algún campo sin dato,1,0f24d033c47785503baf8696c5587583bcf0c440be8bea56b2b9b31ef5a49ea0,25/06/2023 23:36:52,ESCANER
8369,"Santa Rosa",6,"Cuilapa",1,979,380,33,2,18,2,70,2,1,19,1,1,3,1,2,0,1,0,0,2,0,2,2,0,162,28,13,213,0,213,--,380,167,162,203,203,Sumas Asentadas sin cuadrar,1,19b8c779e5aebfe9e345303d05e183239f00211eb6300e6ef6178859a580abe8,26/06/2023 00:27:31,ESCANER
8370,"Santa Rosa",6,"Cuilapa",1,979,380,29,1,22,12,65,0,1,19,0,0,0,0,2,6,0,0,0,2,0,4,2,1,166,31,24,221,0,221,--,380,159,166,221,221,Algún campo sin dato,1,6ea710ab309c5730c54cd49014316e5bf61fcb138ceb92cdfe19b7d4e8dd00ce,25/06/2023 23:48:08,ESCANER
8371,"Santa Rosa",6,"Cuilapa",1,979,380,40,3,23,3,49,2,0,27,0,2,3,3,1,1,3,0,2,0,0,5,1,0,168,37,25,230,0,230,--,380,150,168,230,230,Algún campo sin dato,1,265af95373feaaddc869de4e018baf29a10b89291d533fb67f2edafbdbb81313,26/06/2023 00:41:17,MOVIL
8372,"Santa Rosa",6,"Cuilapa",1,979,380,68,3,7,11,50,2,1,20,1,3,2,1,3,1,1,1,0,2,3,6,0,0,186,67,14,267,0,267,--,380,113,186,267,267,Algún campo sin dato,1,0ce25a48ca8eee91f7b17d8fef5dd32098a77a9b3e5296de49adc998e3d9389a,26/06/2023 00:49:45,ESCANER
8373,"Santa Rosa",6,"Cuilapa",1,979,380,47,4,16,14,36,1,2,9,0,0,2,0,2,0,0,2,0,2,1,6,3,0,147,39,9,195,0,195,--,380,185,147,195,195,Algún campo sin dato,1,fd3122097d1266a5afb6fc55840440863b3d4215e1b8d2a38f531ff43b7b8b7e,25/06/2023 22:33:01,ESCANER
8374,"Santa Rosa",6,"Cuilapa",1,979,380,37,3,11,12,37,--,0,21,0,0,6,1,3,2,--,0,0,0,0,4,4,0,141,31,9,181,0,181,--,380,199,141,181,181,Algún campo sin dato,1,e3d775694632520f76c36c1e4649fa488e08e51cf339c282f8fe247b83a3afcd,25/06/2023 23:03:53,ESCANER
8375,"Santa Rosa",6,"Cuilapa",1,980,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
8376,"Santa Rosa",6,"Cuilapa",1,980,373,51,0,21,9,46,3,0,19,1,3,0,3,0,1,0,0,0,0,1,5,5,0,168,28,9,205,0,205,--,373,168,168,205,205,Algún campo sin dato,1,a098a3d3df4d2fa74525ae94eaf4a2d8e3dcdfc03da80bcb75c66e73654531dc,26/06/2023 01:42:00,ESCANER
8377,"Santa Rosa",6,"Cuilapa",1,980,372,45,0,10,8,41,3,0,9,0,2,2,2,0,1,0,2,0,0,1,4,5,0,134,12,7,153,0,153,--,372,219,135,154,154,Sumas Asentadas sin cuadrar,1,2b8e3a2e134759fe2de0597c25a919f8810f2ed62510b86808fa214d9fa86a54,25/06/2023 23:19:16,ESCANER
8378,"Santa Rosa",6,"Cuilapa",1,981,380,11,2,4,49,37,1,--,31,--,2,6,--,2,5,5,--,--,2,1,10,1,1,170,34,10,--,--,214,--,380,160,170,214,214,Algún campo sin dato,1,e131d1f459b8bf66a9c6ee830640ff3ffa63c92496cfacc9690a5952d1227972,26/06/2023 02:02:05,ESCANER
8379,"Santa Rosa",6,"Cuilapa",1,981,380,9,3,4,61,39,0,4,38,0,1,7,1,1,0,3,1,1,1,0,9,3,0,186,50,14,250,0,250,--,380,380,186,250,250,Algún campo sin dato,1,86b41d9bc3717df01163168022e709f9dbb1db278531bfdd45ab1258b969d89f,26/06/2023 05:48:07,ESCANER
8380,"Santa Rosa",6,"Cuilapa",1,981,380,11,6,3,64,53,0,1,37,0,4,7,0,4,3,0,0,0,4,0,12,0,3,212,37,13,262,0,262,--,380,118,212,262,262,Algún campo sin dato,1,7b74815021f139b5e7398634f242a1dd2dd45d6212d99289690ce31b219842d7,26/06/2023 00:29:53,ESCANER
8381,"Santa Rosa",6,"Cuilapa",1,981,380,4,1,8,54,30,2,2,35,1,3,8,0,2,3,1,0,1,4,1,10,3,2,175,46,3,224,0,224,--,380,156,175,224,224,Algún campo sin dato,1,e8c59746e22bda4c9d5aa0fe7b4ad6c6399d67ea51ec7e156634cbe38506697e,26/06/2023 02:10:10,ESCANER
8382,"Santa Rosa",6,"Cuilapa",1,981,380,2,2,8,56,36,2,1,30,1,2,8,0,2,3,0,0,1,2,0,10,4,1,171,43,6,220,0,220,--,380,160,171,220,220,Algún campo sin dato,1,d07e5ec28378eb6ead61528b10ff8e016299b975817af633872404e85cda411a,26/06/2023 02:18:05,ESCANER
