TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
1444,1432,99.1689,1428,98.8919,4,528945,339025,64.0945

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VALOR UNIONISTA,TODOS,AZUL,VICTORIA,VAMOS,PIN,ELEFANTE,MLP,P A N,PPN,CABAL,WINAQ,BIEN,FCN-NACION,PHG,CREO,UR,PODEMOS,PR,U R N G - MAIZ,CAMBIO,MI FAMILIA,VIVA,VOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16713,"Quiché",14,"Santa Cruz Del Quiché",1,2502,242,8,4,2,2,1,22,0,1,2,0,0,5,6,1,0,2,2,2,1,0,0,1,0,10,12,12,96,20,8,124,0,124,0,242,118,96,124,124,,1,9f3acc3b1f81f896f17e9d5593b7cb980942bf509355d3e95fb75ba1dc402103,25/06/2023 22:31:20,ESCANER
16714,"Quiché",14,"Santa Cruz Del Quiché",1,2503,400,24,0,0,0,0,94,0,0,0,0,0,19,2,3,0,0,4,0,0,0,18,0,2,12,5,0,183,37,35,255,0,255,--,400,145,183,255,255,Algún campo sin dato,1,ed9ec3bdc463f38d05bbcae42766ae7e0e0efc89d72800f830eb848588f0f175,25/06/2023 22:39:51,ESCANER
16715,"Quiché",14,"Santa Cruz Del Quiché",1,2503,400,38,2,4,0,2,51,0,2,2,2,4,14,5,1,1,4,3,4,0,2,4,1,2,21,4,7,180,44,23,247,0,247,--,400,153,180,247,247,Algún campo sin dato,1,fa3264730a128a3f67d5b2965d6aa2d72dcb985c2aa55a9028c2f28aa47f2be6,26/06/2023 02:18:59,ESCANER
16716,"Quiché",14,"Santa Cruz Del Quiché",1,2503,400,22,1,3,2,1,66,0,0,4,1,3,17,4,2,0,4,0,1,0,0,18,1,3,19,13,11,196,46,10,252,0,252,--,400,148,196,252,252,Algún campo sin dato,1,a4b99e8888d4d6d7f010fab8fbd53e06a552d28a1c22aaa34561d4da9df6b4b2,26/06/2023 01:32:45,ESCANER
16717,"Quiché",14,"Santa Cruz Del Quiché",1,2504,400,20,3,7,0,2,63,0,0,5,3,8,20,4,2,0,2,1,1,1,1,8,0,0,7,12,8,178,29,19,226,0,226,--,394,168,178,226,226,Algún campo sin dato,1,659f5e88a217dfadc79a932d133115a35ccc3173d182cb68d16cc82217953e83,25/06/2023 23:45:39,ESCANER
16718,"Quiché",14,"Santa Cruz Del Quiché",1,2504,400,32,0,3,0,1,57,0,0,4,4,0,29,4,1,0,0,1,1,0,0,15,0,0,10,3,11,162,29,6,197,29,226,--,--,--,176,211,240,Sumas Asentadas sin cuadrar,1,0f3e40073d76a0358b4c1c088bab24ad45e4996b8da92dbaf73bda4ca8ce0170,26/06/2023 01:52:25,ESCANER
16719,"Quiché",14,"Santa Cruz Del Quiché",1,2504,311,12,1,3,0,2,50,0,0,1,0,2,8,3,0,0,0,3,2,0,3,5,3,1,8,7,14,128,21,12,161,0,161,--,311,150,128,161,161,Algún campo sin dato,1,9720aadba48ff40f6dc5ba14290fb0f85255e03ca778e18410e7131f1e053798,26/06/2023 00:47:40,ESCANER
16720,"Quiché",14,"Santa Cruz Del Quiché",1,2504,310,17,1,0,1,0,36,1,0,4,0,0,11,0,0,1,2,5,0,1,0,9,0,0,14,8,15,126,15,7,148,0,148,--,310,162,126,148,148,Algún campo sin dato,1,577b765c0a2140b414aa68ddeccfde971ebb6f2dbb30055674c0a67e4431ff3d,25/06/2023 22:14:39,ESCANER
16721,"Quiché",14,"Santa Cruz Del Quiché",1,2505,356,37,2,2,0,0,37,0,1,2,0,1,12,3,1,0,4,0,2,1,1,4,0,1,21,9,5,146,32,17,195,0,195,--,356,161,146,195,195,Algún campo sin dato,1,006d3a11f2ca827d3b8043bb7505ef20ce4b660c5fcbbc12436de5e0762b8ce7,26/06/2023 00:22:11,ESCANER
16722,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,32,3,4,1,2,27,2,0,4,0,4,24,5,0,2,5,4,2,9,3,0,0,1,22,12,0,189,50,13,252,0,252,--,--,--,168,231,231,Sumas Asentadas sin cuadrar,1,be2958e59261a98469a16a2e2a4ce60a6738ea16215ea5ab508741833bc85359,26/06/2023 05:04:08,ESCANER
