TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
866,832,96.0739,829,95.7274,3,314283,202373,64.3919

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,AZUL,CABAL,VALOR,MLP,UNE,P A N,VICTORIA,TODOS,VAMOS,ELEFANTE,PHG,PPN,MI FAMILIA,BIEN,PR,U R N G - MAIZ,PODEMOS,CREO,FCN-NACION,CAMBIO,UR,VOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11757,"Suchitepéquez",10,"Mazatenango",1,1579,400,7,9,19,11,10,21,2,9,38,15,6,2,5,0,12,0,3,4,0,3,3,1,14,16,210,41,3,254,0,254,--,400,146,210,254,254,Algún campo sin dato,1,c51bfebd10ccbbad7990482f67a17791236282afdfd0f4f9b72a077222857e66,26/06/2023 02:02:26,ESCANER
11758,"Suchitepéquez",10,"Mazatenango",1,1579,400,17,6,11,20,3,13,3,8,29,13,7,1,11,2,8,0,10,6,1,1,5,1,13,11,247,35,12,247,0,247,--,400,153,200,247,247,Sumas Asentadas sin cuadrar,1,562e424eaeb8f6cf64ed71df1ac22fbf05d484665e1619e0926869a25218be72,26/06/2023 02:42:05,ESCANER
11759,"Suchitepéquez",10,"Mazatenango",1,1580,400,9,1,9,12,2,16,1,11,37,21,9,7,14,0,12,0,1,7,0,1,3,2,9,11,195,28,13,236,0,236,--,400,164,195,236,236,Algún campo sin dato,1,63cbc852a6fa7fe0fd305729dc5135cca944a6ea40923ddb4fe8679de28909f2,25/06/2023 23:56:20,ESCANER
11760,"Suchitepéquez",10,"Mazatenango",1,1580,400,18,7,9,12,1,15,4,5,27,14,12,2,13,1,0,0,4,4,0,1,3,0,11,23,198,29,4,231,0,231,--,401,170,186,219,219,Sumas Asentadas sin cuadrar,1,b39013993142d14ee5fbd9ab86d1a670dea8424a1a834813b880ccf55906a360,26/06/2023 01:37:57,ESCANER
11761,"Suchitepéquez",10,"Mazatenango",1,1580,400,13,3,7,9,3,12,0,5,36,10,14,4,10,0,16,0,2,5,0,1,0,0,13,31,194,30,0,224,--,224,--,400,176,194,224,224,Algún campo sin dato,1,82e4a500f75bd0cc75c5499b48019a4fa353b1765ac37397a62f36feabfc68f0,26/06/2023 00:52:15,ESCANER
11762,"Suchitepéquez",10,"Mazatenango",1,1580,400,10,3,5,11,2,11,2,10,21,15,8,4,11,3,7,0,4,3,0,2,0,1,18,50,201,27,1,229,0,229,--,396,167,201,229,229,Algún campo sin dato,1,3d8699560f38f3d3e5306d8dbba252ffc26d6d39398f8d6113710ea856f800b1,26/06/2023 03:09:12,ESCANER
11763,"Suchitepéquez",10,"Mazatenango",1,1580,400,9,1,6,9,5,10,2,4,26,13,14,5,8,0,10,0,2,8,1,0,4,0,8,34,179,21,3,203,0,203,--,400,197,179,203,203,Algún campo sin dato,1,22d240bb7e11b01f3bf5a676b05e91695bc2d27b9d96f6c3c4aeb8d8f77eef58,26/06/2023 01:15:23,ESCANER
11764,"Suchitepéquez",10,"Mazatenango",1,1581,400,15,6,5,13,1,13,0,8,33,10,12,7,7,1,9,0,3,8,0,0,5,0,10,57,223,27,3,253,0,253,--,398,145,223,253,253,Algún campo sin dato,1,ff2ddd0ac139ea79f8b7332223a0fc29ed6f0a091b12621ae62bfe16568a8f49,25/06/2023 23:55:17,ESCANER
11765,"Suchitepéquez",10,"Mazatenango",1,1581,201,2,1,9,5,4,9,0,1,12,3,5,3,7,1,5,1,3,3,0,2,1,0,6,20,103,12,1,116,0,116,--,198,82,103,116,116,Algún campo sin dato,1,a370cff35109135b55f27e178cb83e3c0fcf2899791eaab363c07f986a0cf1e8,25/06/2023 23:23:19,ESCANER
11766,"Suchitepéquez",10,"Mazatenango",1,1581,201,1,2,7,3,3,5,0,1,14,7,5,4,3,0,1,0,1,2,0,1,2,1,2,7,72,11,111,194,0,194,--,194,111,72,194,194,Algún campo sin dato,1,c7355726895429d29210998fd14c3459e88bae39427a2eee300a1bc804aecf26,25/06/2023 23:48:10,ESCANER
