TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
509,503,98.8212,503,98.8212,0,189734,108927,57.4103

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,BIEN,TODOS,CREO,PODEMOS,WINAQ,MLP,P A N,ELEFANTE,PPN,VAMOS,FCN-NACION,UNE,VICTORIA,UR,VIVA,VALOR,MI FAMILIA,PHG,CAMBIO,U R N G - MAIZ,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23080,"Jalapa",21,"Jalapa",1,3628,400,27,7,6,8,1,0,1,9,0,1,2,32,1,35,3,11,5,33,0,1,0,1,12,196,45,10,251,0,251,--,400,149,196,251,251,Algún campo sin dato,1,afeaf5b75e004044019a758f239f1fe2322726e1981f06b5558712549c08ab97,26/06/2023 02:32:23,ESCANER
23081,"Jalapa",21,"Jalapa",1,3628,400,50,6,3,9,2,0,1,7,0,0,4,19,0,36,4,11,8,25,1,1,0,4,6,197,47,25,269,0,269,--,400,131,197,269,269,Algún campo sin dato,1,c10d661b6c35778f9bc9bd502178ef6f696b0fba200965ee588fa43be10388a2,25/06/2023 23:35:07,ESCANER
23082,"Jalapa",21,"Jalapa",1,3628,400,30,10,3,7,6,0,1,5,1,2,2,32,0,31,10,9,6,49,1,0,4,3,10,222,43,14,279,0,279,--,400,121,222,279,279,Algún campo sin dato,1,ae7c651409a3a4eadbe6f10380b773e4c6b50628653f7a2a0f1e87007c54202f,26/06/2023 00:10:18,ESCANER
23083,"Jalapa",21,"Jalapa",1,3628,400,24,10,7,10,2,0,1,3,0,1,3,27,1,32,0,9,4,49,3,0,2,1,13,202,42,20,264,0,264,--,400,136,202,264,264,Algún campo sin dato,1,f8a4e6d7169d85cdc9a0e2bcb2f23ba4aed245d6ac71613c4f33f7343e2c1aa2,26/06/2023 00:35:17,ESCANER
23084,"Jalapa",21,"Jalapa",1,3629,400,43,10,4,10,2,2,0,4,1,3,6,31,0,20,4,9,12,46,1,0,1,2,13,224,42,10,276,0,276,--,400,124,224,276,276,Algún campo sin dato,1,d305cf3ba946b6d7d016bb55daa4dcbcef38632b773ac721aac5bc56feb98ad8,26/06/2023 00:48:07,ESCANER
23085,"Jalapa",21,"Jalapa",1,3629,400,46,7,6,9,4,0,0,3,0,3,3,37,0,17,12,6,9,33,1,0,2,1,12,211,46,18,275,0,275,0,400,125,211,275,275,,1,ed21df7d0b5ae6a356a76369f83e277fa391ddb21437dd96a160bf7f66e352aa,25/06/2023 23:59:10,ESCANER
23086,"Jalapa",21,"Jalapa",1,3629,400,47,7,7,9,1,1,3,2,0,1,5,32,0,18,9,9,11,39,0,1,1,1,13,217,36,9,262,0,262,--,400,138,217,262,262,Algún campo sin dato,1,e5cc19837bf9919d9e1f404f23049d5a3d9ea588bfb237a1fddc45b28b2ac983,26/06/2023 02:02:47,ESCANER
23087,"Jalapa",21,"Jalapa",1,3629,400,45,5,11,7,4,0,0,4,0,1,2,27,0,19,5,6,5,39,1,0,3,0,7,191,27,6,224,0,224,--,399,175,191,224,224,Algún campo sin dato,1,bb07b6f7d9b901711f1ebcff050ced5c6423b1e6bacb5996632ed1c60921c1de,26/06/2023 00:58:31,ESCANER
23088,"Jalapa",21,"Jalapa",1,3629,400,31,3,7,6,2,0,0,4,0,2,2,26,0,19,3,8,10,34,0,0,1,4,20,182,34,3,219,0,219,--,400,181,182,219,219,Algún campo sin dato,1,aa24d4498f5bd719c3c9461d8adf7574439c1f042723e9abd2f4f837de5c3fad,26/06/2023 00:10:31,ESCANER
23089,"Jalapa",21,"Jalapa",1,3629,400,46,10,4,5,0,0,1,1,1,1,2,23,3,13,8,8,12,37,0,1,2,2,12,192,28,19,239,0,239,--,400,161,192,239,239,Algún campo sin dato,1,208da500b7df759dacbada8ca0c116c61bf85281b9340d554b97c95c1c629062,25/06/2023 22:26:22,ESCANER
23090,"Jalapa",21,"Jalapa",1,3629,400,50,6,5,7,1,0,1,3,0,1,1,16,0,23,11,8,6,51,1,0,2,0,10,203,30,3,236,0,236,--,400,164,203,236,236,Algún campo sin dato,1,c4ba5164a9f8c1fe7b2865410e326718e40c60287aa1f6dc142aa4ba3fa07580,26/06/2023 01:34:30,ESCANER
