TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
706,706,100.0000,704,99.7167,2,261831,198899,75.9646

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,TODOS,WINAQ,CABAL,UNE,P A N,VICTORIA,VAMOS,PIN,PHG,CREO,VALOR UNIONISTA,MLP,ELEFANTE,UR,CAMBIO,PODEMOS,SEMILLA,FCN-NACION,VIVA,VOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9068,"Sololá",7,"Sololá",1,1105,400,144,0,3,3,38,2,2,15,0,1,3,1,3,6,0,0,1,3,2,14,0,0,241,32,41,314,0,314,--,397,83,241,314,314,Algún campo sin dato,1,17d4c9ad0e6f9cdf5dcd12b8f65ffe5445db776c1d2e071eff6818e68d91953f,26/06/2023 01:05:34,ESCANER
9069,"Sololá",7,"Sololá",1,1105,400,122,1,7,5,59,1,3,25,0,5,1,1,2,2,0,0,2,8,1,4,2,0,251,36,34,321,0,321,--,400,79,251,321,321,Algún campo sin dato,1,9fb992c938dfc7ea1a97d6627f2b9756deba3fd354bd5ccb49c8383f64cc6d2a,26/06/2023 00:22:35,ESCANER
9070,"Sololá",7,"Sololá",1,1105,400,103,2,16,5,42,1,2,31,0,11,1,3,2,5,1,0,0,12,3,5,2,1,248,40,45,333,0,333,--,400,67,248,333,333,Algún campo sin dato,1,580f1684bd7540bd0268becdb1f714eab3ddda206bbe6be4264771377c69325c,25/06/2023 23:06:57,ESCANER
9071,"Sololá",7,"Sololá",1,1105,400,103,2,9,4,38,2,3,30,0,7,0,6,2,3,2,0,1,4,2,8,4,0,230,48,25,303,0,303,--,400,97,230,303,303,Algún campo sin dato,1,7e1745e50112c2491bb7e5af533c21b37ec451e1dac3d9d9340007016b23345f,26/06/2023 01:40:07,ESCANER
9072,"Sololá",7,"Sololá",1,1105,400,100,2,6,5,42,0,4,25,1,5,1,0,3,3,1,0,1,8,2,14,5,1,229,37,19,285,0,285,--,400,115,229,285,285,Algún campo sin dato,1,abf92705813810b127d1829eb2f993d8e3e522e934b12d8bf940a006aade2b0b,26/06/2023 02:17:15,ESCANER
9073,"Sololá",7,"Sololá",1,1106,400,98,2,11,9,36,1,1,20,1,6,1,3,1,4,0,0,1,9,1,7,2,1,215,36,22,273,0,273,--,400,127,215,273,273,Algún campo sin dato,1,3dd0185d21e042dbc2054597c03933f6cbfe4d5f2a486e3d08d84c70b6ebcf10,26/06/2023 01:39:23,ESCANER
9074,"Sololá",7,"Sololá",1,1106,400,92,6,11,5,48,1,6,23,0,10,1,1,2,2,1,0,0,14,1,8,5,4,241,37,17,295,0,295,--,397,101,241,295,295,Algún campo sin dato,1,664a1320ac4ad2b25d034d60914345f3fd8eb71de892f0e9e59767efb2a3db5f,26/06/2023 01:22:38,ESCANER
9075,"Sololá",7,"Sololá",1,1106,400,94,5,13,7,52,1,0,30,0,11,0,4,1,7,0,0,1,11,1,11,4,1,254,42,10,306,0,306,--,400,94,254,306,306,Algún campo sin dato,1,e4d537ee3047b6b051af3bdd72b3a9dc693ca7f259e07a6795bda70cab582bcd,26/06/2023 01:15:49,ESCANER
9076,"Sololá",7,"Sololá",1,1106,400,83,3,17,10,42,3,4,16,0,10,4,2,1,5,0,0,2,15,0,10,2,1,230,37,15,282,0,282,--,400,118,230,282,282,Algún campo sin dato,1,8e6560389e6f821641f73d32cec283f40d6c6cbfab8955d8950f479488a3272c,26/06/2023 00:09:35,ESCANER
9077,"Sololá",7,"Sololá",1,1106,400,107,5,11,5,27,1,1,28,0,7,0,0,1,3,0,0,4,16,1,6,2,0,225,33,18,276,0,276,--,400,124,225,276,276,Algún campo sin dato,1,6522675ba7be4e72a2bd2b94c52ed524a24e791933ab504244a888aa682b3b0d,25/06/2023 22:31:59,ESCANER
