TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
706,706,100.0000,704,99.7167,2,261831,198899,75.9646

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,TODOS,WINAQ,CABAL,UNE,P A N,VICTORIA,VAMOS,PIN,PHG,CREO,VALOR UNIONISTA,MLP,ELEFANTE,UR,CAMBIO,PODEMOS,SEMILLA,FCN-NACION,VIVA,VOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9186,"Sololá",7,"San José Chacayá",2,1121,400,10,1,3,10,72,1,1,153,0,1,2,1,1,5,0,0,0,10,1,7,4,0,283,25,34,342,0,342,--,400,58,283,342,342,Algún campo sin dato,1,09263ac66589bf4dc856a751fb2081018ab250d36f17800714b892eafde152cf,25/06/2023 21:49:10,ESCANER
9187,"Sololá",7,"San José Chacayá",2,1121,400,18,0,7,19,87,3,2,116,0,2,0,0,2,4,0,0,0,18,0,9,5,1,293,20,17,330,0,330,--,400,70,293,330,330,Algún campo sin dato,1,66aac7113a3a99aed51aa4a81f2a24feaf2fbf9b39aab4dc1d29278ace6ea88b,25/06/2023 22:40:59,ESCANER
9188,"Sololá",7,"San José Chacayá",2,1121,233,11,0,1,10,49,3,0,68,0,0,0,1,0,1,0,0,0,9,1,5,6,0,165,16,12,193,0,193,--,234,41,165,193,193,Algún campo sin dato,1,70a4ab15991a4056ca0c622ceacd845366bcf9897c254670229cb9fa2c60f8a6,25/06/2023 23:24:16,ESCANER
9189,"Sololá",7,"San José Chacayá",2,1121,233,10,0,2,4,44,3,1,64,0,1,0,0,0,3,0,1,0,0,0,5,2,8,148,15,11,174,0,174,--,233,59,148,174,174,Algún campo sin dato,1,de5cbad61bbea2eda15eefa023e3882b76c881b3009aaa0cc0702438018de61d,25/06/2023 21:15:48,ESCANER
9190,"Sololá",7,"Santa María Visitación",3,1122,400,9,1,46,41,13,0,5,65,0,0,0,5,2,3,0,0,44,17,2,7,8,0,268,40,42,350,0,350,--,400,50,268,350,350,Algún campo sin dato,1,e8fc5500c1b8afff84f3043baef19757879cd80e4cf5b2dbcbe5df9ebe548470,26/06/2023 01:51:22,ESCANER
9191,"Sololá",7,"Santa María Visitación",3,1122,400,9,2,60,51,11,0,5,59,0,0,3,6,5,9,0,1,49,14,1,6,5,1,297,28,41,366,0,366,--,400,34,297,366,366,Algún campo sin dato,1,60920515b191d0ef66c028a4b537f1b65dd17489aa69ecb96db12ad01c071e89,26/06/2023 02:38:31,ESCANER
9192,"Sololá",7,"Santa María Visitación",3,1122,400,6,1,42,38,9,0,7,53,0,1,0,4,4,1,0,0,53,18,3,7,7,0,254,34,29,317,0,317,--,400,83,254,317,317,Algún campo sin dato,1,50be76f02d068264a0753a3fc456ec7d4696a351f79eeeddb1ead642d6ab16ed,26/06/2023 01:46:09,ESCANER
9193,"Sololá",7,"Santa María Visitación",3,1122,289,4,0,38,27,6,1,2,33,0,0,0,6,0,0,0,0,42,23,2,4,10,0,198,16,24,238,0,238,--,289,51,198,238,238,Algún campo sin dato,1,5197f9818f0792ea22c34d93af155c6190d45a92c2b6ac6697e2e73eb69b187f,26/06/2023 01:22:19,ESCANER
9194,"Sololá",7,"Santa María Visitación",3,1122,288,2,0,36,20,6,0,5,35,0,0,0,8,1,1,0,0,46,21,1,1,2,0,185,22,15,222,7,229,--,288,60,185,222,229,Algún campo sin dato,1,e0be704c0b297f07d8d89be6fd2c1e0388435093c45a50fb3ec64d28002e90b0,26/06/2023 01:14:25,ESCANER
9195,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,15,3,4,26,26,1,3,43,0,1,1,4,4,78,0,1,2,2,1,6,2,1,224,44,43,311,0,311,--,400,89,224,311,311,Algún campo sin dato,1,e52d99464d769219036e6020bfc3cca5d95ce3f4b0c96413a395e4def28e02b5,26/06/2023 00:57:18,ESCANER
9196,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,8,5,3,17,39,1,3,55,2,0,2,6,4,84,1,0,0,2,0,17,0,0,249,21,53,323,0,323,--,400,77,249,323,323,Algún campo sin dato,1,dacdf163c890afcb037af9fc1573c8594cdea387d6c2a21b130506e8aeebed6c,26/06/2023 02:15:52,ESCANER
9197,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,15,3,6,28,17,1,5,37,0,2,0,5,5,78,0,0,0,3,5,12,1,2,225,34,59,318,0,318,--,400,82,225,318,318,Algún campo sin dato,1,46b7cc55ebca88e2294bd5f2ca2150218a333a0af7f9d6e4afd9203a4d5a421f,26/06/2023 02:32:56,ESCANER
9198,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,21,2,11,39,18,3,1,36,0,0,0,0,14,98,0,0,0,1,2,3,2,0,251,33,34,318,0,318,--,400,82,251,318,318,Algún campo sin dato,1,856433e0dc41eeb4223eb87c8e69a51c796f7921e351720aab12ff64f853bceb,25/06/2023 23:41:29,ESCANER
9199,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,18,6,4,28,19,1,3,48,0,0,1,4,4,94,1,0,2,3,2,6,0,1,245,27,57,329,0,329,--,400,71,245,329,329,Algún campo sin dato,1,3f0c6e2a53aa25ef89f8328c77f3003f5f06755213e65284cdf3ae0e42a04d3b,26/06/2023 00:23:42,ESCANER
9200,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,15,2,5,17,36,2,4,45,0,1,0,5,0,96,0,0,2,1,0,11,2,0,244,36,44,324,0,324,--,400,76,244,324,324,Algún campo sin dato,1,13224f53acff51728f8dc08d8a568408e52711172bfdd9cc58daeb8148dea89a,26/06/2023 00:33:41,ESCANER
9201,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,8,2,5,19,59,2,2,43,1,1,0,6,5,78,0,0,6,2,2,5,3,0,249,24,51,324,0,324,--,399,75,249,324,324,Algún campo sin dato,1,6d96d541a95ba0d3e8ddc084e631a0f55fdc466c4b55129000267950fbcd83dc,26/06/2023 00:43:28,ESCANER
9202,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,16,4,7,19,17,0,1,53,0,1,0,2,5,79,0,0,5,5,1,8,2,0,225,29,69,323,0,323,--,400,77,225,323,323,Algún campo sin dato,1,0eaaa47681fd4183dcb4bb1a84a9d8e148eff4107f3e9e6aca98787e9ae2314b,26/06/2023 00:49:54,ESCANER
9203,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,18,0,9,21,17,0,5,48,0,1,1,3,6,95,1,0,2,5,3,7,1,0,243,23,29,295,0,295,--,400,105,243,295,295,Algún campo sin dato,1,cc51ab0324bf89f5dcc82485c69472c760b4f944f15df53b6e65d63e922ea8c9,26/06/2023 02:05:45,ESCANER
9204,"Sololá",7,"Santa Lucía Utatlán",4,1123,400,12,1,3,19,16,1,3,29,0,1,0,1,3,108,1,1,1,4,1,8,2,0,215,23,17,255,0,255,--,400,145,215,255,255,Algún campo sin dato,1,3994ec55abd9b51f47b4d247e2fb76d394470580b4d725b82ad0bab59e559136,26/06/2023 00:16:33,ESCANER
9205,"Sololá",7,"Santa Lucía Utatlán",4,1124,400,9,2,12,16,14,1,2,31,0,0,1,2,7,116,0,0,3,3,0,7,1,0,227,29,30,286,0,286,--,400,114,227,286,286,Algún campo sin dato,1,02df784dee6edcf62145d266be0422b5ea28e273c49bc9c11dabbbaf07bfeead,26/06/2023 00:06:02,ESCANER
9206,"Sololá",7,"Santa Lucía Utatlán",4,1124,400,17,4,5,18,18,2,3,36,1,1,0,4,7,93,2,0,0,4,0,10,2,1,228,33,33,294,0,294,--,400,106,228,294,294,Algún campo sin dato,1,f195d48eca88a65d572f85835006a4ea1ea138b2c377a8003712fbefe83534d6,26/06/2023 00:13:38,ESCANER
9207,"Sololá",7,"Santa Lucía Utatlán",4,1124,400,17,1,7,25,17,0,2,26,0,1,0,4,7,94,0,0,1,8,1,7,2,0,220,12,26,258,1,259,--,400,141,220,258,259,Algún campo sin dato,1,9f0542450ff015e42b6f58d529c5976fd034299d058ff8c678dbf9016c55424f,26/06/2023 01:13:41,ESCANER
9208,"Sololá",7,"Santa Lucía Utatlán",4,1124,400,11,4,9,4,19,0,2,18,0,1,0,2,2,127,0,0,1,20,0,7,4,1,232,27,15,274,0,274,--,400,126,232,274,274,Algún campo sin dato,1,068899104de618e4d22b91a4c49cae936030c3e20a39b192b2ea6315f1e42cd4,26/06/2023 01:27:57,ESCANER
9209,"Sololá",7,"Santa Lucía Utatlán",4,1124,400,18,2,8,13,22,0,0,24,0,0,1,5,4,133,0,0,0,8,1,4,2,0,245,18,6,269,0,269,--,400,131,245,269,269,Algún campo sin dato,1,480a484701e70f3826c6c9bb29d597706528458bdfbebd8975bff5c3bee9097a,26/06/2023 01:54:50,ESCANER
9210,"Sololá",7,"Santa Lucía Utatlán",4,1124,348,13,1,7,23,20,0,5,21,0,0,0,4,8,75,0,0,4,8,2,9,5,1,206,26,18,250,0,250,--,344,94,206,250,250,Algún campo sin dato,1,b4288044bba580614527f6f19899a1b03f63f4aeca8ab236327609887684ab5e,26/06/2023 01:21:29,ESCANER
9211,"Sololá",7,"Santa Lucía Utatlán",4,1124,347,5,2,0,25,21,0,2,25,0,0,1,8,6,66,1,0,1,9,1,4,1,0,178,13,23,214,0,214,--,347,133,178,214,214,Algún campo sin dato,1,b973e7f4a0e8c3b0a67f08b8cdd0609d12ba33b9903bab107042f01daa8c3a91,25/06/2023 22:45:21,MOVIL
9212,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,20,4,10,16,23,1,7,46,0,0,2,5,4,57,0,0,1,2,1,10,4,1,214,26,35,275,0,275,--,380,105,214,275,275,Algún campo sin dato,1,e6196b058d85218219a87d0cd194ec7791c830cc6a16d463a3ecc54cc8454e38,26/06/2023 00:16:43,ESCANER
9213,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,10,2,10,14,37,0,5,40,0,0,1,4,10,43,1,0,1,1,2,8,4,0,193,29,49,271,0,271,--,380,109,193,271,271,Algún campo sin dato,1,6e7c39ff2c0fd7a7e989d9016d79147094a7b0e7ae19f75359af077ec6a4cf39,26/06/2023 00:59:16,ESCANER
9214,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,16,1,3,16,34,1,5,65,0,0,3,10,6,40,2,0,2,7,2,12,2,0,227,21,36,284,0,284,--,380,96,227,284,284,Algún campo sin dato,1,5632b40cf39b32028ca8ec4f685c62a4b155aa1766e739260ca15cbb2adddb85,26/06/2023 01:59:18,ESCANER
9215,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,23,1,11,16,31,2,3,43,0,0,1,5,4,74,0,0,1,9,1,4,6,0,235,28,42,305,0,305,--,380,75,235,305,305,Algún campo sin dato,1,485044289168caf7ab825341e6bf95c4c90c9b129e4d412a7d6fa789e4391b8c,26/06/2023 02:33:41,ESCANER
9216,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,5,1,11,12,25,1,2,53,0,1,2,11,12,47,0,0,1,8,1,9,0,0,202,39,40,281,0,281,--,381,100,202,281,281,Algún campo sin dato,1,77801b52dbab1b9ad83ea372900968ad67b4f7eb1f8a9431deab87be46801de8,26/06/2023 01:21:21,ESCANER
9217,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,14,5,6,11,27,0,3,39,0,1,1,3,7,73,0,2,1,11,1,16,6,0,227,32,34,293,0,293,--,380,87,227,293,293,Algún campo sin dato,1,d630aac84741445d61b1277381d35fbe391a0b5f68c51819db2d4f1b948f803c,26/06/2023 02:28:17,ESCANER
9218,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,10,4,2,31,28,1,4,73,0,0,0,6,4,34,1,0,1,1,2,13,2,0,217,24,60,301,0,301,--,380,79,217,301,301,Algún campo sin dato,1,be24f3d772b0f83b254b0ad61266975bc3d2ee5cfac241c689c9add27e41cda8,26/06/2023 00:40:29,ESCANER
9219,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,6,5,0,28,26,0,2,73,0,1,1,5,2,48,2,2,2,2,0,8,1,0,214,22,58,294,0,294,--,380,86,214,294,294,Algún campo sin dato,1,8ae45b1e8552749068718913a71827c110070235f8faffce1c9ead413e5bed20,26/06/2023 02:20:09,ESCANER
9220,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,18,4,3,29,21,4,8,44,0,0,0,5,13,36,1,0,2,2,1,14,5,2,212,25,30,267,0,267,--,380,113,212,267,267,Algún campo sin dato,1,0231fae5aacc4959372115731378f1b909c737152b6822c6c1a2a2fa922352f6,26/06/2023 02:31:22,ESCANER
9221,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,15,5,11,10,24,2,6,33,1,1,2,6,9,66,0,0,0,7,2,7,7,0,214,22,17,253,0,253,--,380,127,214,253,253,Algún campo sin dato,1,294e859f2bd3c1b66bcdfd317f447c46c05f779fc9d54c9bbb4a02c5f030b415,26/06/2023 02:23:23,ESCANER
9222,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,21,2,15,12,23,1,5,31,0,0,1,9,10,54,0,0,2,7,1,10,3,0,207,23,22,252,0,252,--,380,128,207,252,252,Algún campo sin dato,1,5e7b905433d991888a2f442b9b54d56ca012829b98a098f08075544fead53f2b,25/06/2023 23:56:42,ESCANER
9223,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,10,2,14,8,20,2,3,40,0,0,0,5,13,53,0,0,1,10,0,7,5,0,193,26,27,246,0,246,--,381,135,193,246,246,Algún campo sin dato,1,ee0d3a6465cbfad925203354a2433dc0995bd3d989ca77fe2d46bb5b1ee898c9,26/06/2023 01:24:06,ESCANER
9224,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,18,0,9,13,12,1,4,25,0,0,0,8,5,76,1,0,0,17,1,4,6,0,200,23,22,245,0,245,--,380,135,200,245,245,Algún campo sin dato,1,a2bef2809ed37bbcb58076cd1858c967a748bbdd55d162a5eb2e7aacccf4edfd,26/06/2023 00:17:30,ESCANER
9225,"Sololá",7,"Santa Lucía Utatlán",4,1125,380,9,2,15,15,21,1,3,23,0,0,0,6,5,70,1,0,0,14,2,14,6,0,207,25,24,256,0,256,--,380,124,207,256,256,Algún campo sin dato,1,b0b7b0ff244b89f03820a70a8820b6d58c3e58f6540c1d842fbebd235d9fd12b,26/06/2023 01:28:03,ESCANER
9226,"Sololá",7,"Santa Lucía Utatlán",4,1125,339,17,3,4,12,18,0,3,25,0,0,1,7,12,44,2,1,0,18,2,8,5,0,182,16,17,215,0,215,--,336,121,182,215,215,Algún campo sin dato,1,f7c93a060bb582bbbf413ef14a6b8143596b2f251b5b20ab5e8bf73cda5e609a,26/06/2023 00:38:02,ESCANER
9227,"Sololá",7,"Santa Lucía Utatlán",4,1125,338,10,2,6,13,16,1,1,35,0,0,0,6,10,32,0,0,0,12,0,4,4,1,153,24,13,190,0,190,--,338,148,153,190,190,Algún campo sin dato,1,4cf33051ce3a2a1ae7fbea30fbf7c1b09e26da8b417b7763f951b5dbfd1b1e3a,25/06/2023 23:35:54,ESCANER
9228,"Sololá",7,"Santa Lucía Utatlán",4,1126,547,9,1,5,8,18,0,2,33,0,0,2,3,7,30,1,1,0,5,1,6,0,1,133,18,32,183,0,183,--,547,364,133,183,183,Algún campo sin dato,1,479199a974b5a8c0423bc0bdb73c8c51831cdf0f3b1cdb11e2a0881c794d23d3,25/06/2023 23:51:36,ESCANER
9229,"Sololá",7,"Nahualá",5,1127,400,8,5,1,80,1,1,28,105,1,0,0,0,24,0,0,0,0,14,1,7,11,0,287,22,28,337,0,337,--,400,63,287,337,337,Algún campo sin dato,1,feae13cfc3b7e81007e37c17a8656bd120b2161d23b33af510f026f07e16323d,25/06/2023 23:10:55,ESCANER
9230,"Sololá",7,"Nahualá",5,1127,400,1,4,1,108,4,0,22,88,1,0,3,0,25,0,0,0,1,16,0,6,10,0,290,26,31,347,0,347,--,400,53,290,347,347,Algún campo sin dato,1,9b7f5124078e422b6c9e2807d07fe6fb56bb4b638593dff7b187714f687b8512,25/06/2023 22:57:42,ESCANER
9231,"Sololá",7,"Nahualá",5,1127,400,3,1,6,104,6,0,13,99,0,1,2,1,21,2,0,0,1,6,2,4,5,0,277,29,44,350,0,350,--,400,50,277,350,350,Algún campo sin dato,1,d88aa188baec96d4598f5867c4e87a8452e12de46d5acee72675b3aab5c7a72e,25/06/2023 21:29:36,ESCANER
9232,"Sololá",7,"Nahualá",5,1127,400,2,2,4,118,5,1,23,97,0,0,0,0,23,1,0,0,0,10,0,6,8,0,300,22,49,371,0,371,--,400,29,300,371,371,Algún campo sin dato,1,8db307d9d343a3a420b1c3efdb3ec9c7500a87abdefe7314e72197f474c09d18,25/06/2023 22:51:47,ESCANER
9233,"Sololá",7,"Nahualá",5,1127,400,1,6,2,98,6,0,17,68,0,1,0,1,27,1,1,1,2,7,0,10,21,0,270,35,41,346,0,346,--,400,54,270,346,346,Algún campo sin dato,1,ddc979a1648f084dba08144b679184d34b72038232b9400942481d3ffe0648c9,26/06/2023 00:24:08,ESCANER
9234,"Sololá",7,"Nahualá",5,1127,400,3,7,2,73,8,1,9,102,0,0,3,1,19,1,3,1,0,6,1,7,29,0,276,25,39,340,0,340,--,400,60,276,340,340,Algún campo sin dato,1,7a9459ec4d81fdcd54d3dc910ff3095e610ae3c702984537abfa69e748852168,25/06/2023 23:20:40,ESCANER
9235,"Sololá",7,"Nahualá",5,1127,400,7,2,12,111,8,2,21,79,0,1,2,1,11,0,0,0,1,8,0,9,10,0,285,25,34,344,0,344,--,399,55,285,344,344,Algún campo sin dato,1,670d2952a8cd83e913a29af7a11806c399a1a4b990d8283756df139f2a6b5363,25/06/2023 23:32:52,ESCANER
9236,"Sololá",7,"Nahualá",5,1127,400,3,6,5,89,28,2,20,78,0,0,4,1,34,0,2,2,0,9,0,4,5,0,292,17,31,340,0,340,--,400,60,292,340,340,Algún campo sin dato,1,c9c4c662010bc8850865e79b86c1df1fcc53cab21a12bdf75edb6148b640bd1e,25/06/2023 22:37:21,ESCANER
9237,"Sololá",7,"Nahualá",5,1127,400,13,1,8,83,8,0,45,50,0,0,1,3,31,1,0,0,0,10,1,5,13,0,273,34,30,337,0,337,--,400,63,273,337,337,Algún campo sin dato,1,3b532f6fd37440e44dd63fe760b6cd26fa848ed2fd82ab46d1c92567e34fe47c,25/06/2023 22:02:55,ESCANER
9238,"Sololá",7,"Nahualá",5,1127,400,11,1,5,81,10,0,48,63,0,0,0,8,23,1,1,0,0,10,1,4,10,0,277,26,25,328,0,328,--,400,72,277,328,328,Algún campo sin dato,1,9fc438b2010e78f3b73be38672d7c51c46dc0c1c461a52253abd01f149bdc34b,26/06/2023 00:13:06,ESCANER
9239,"Sololá",7,"Nahualá",5,1127,400,2,3,6,76,7,1,37,59,0,0,1,2,22,1,0,1,1,8,0,5,14,0,246,25,22,293,0,293,--,400,107,246,293,293,Algún campo sin dato,1,4f902fc5d84b1e2591d07c880a6d1f6c2682b291701c01f269e4d92fac38e11d,26/06/2023 00:40:31,ESCANER
9240,"Sololá",7,"Nahualá",5,1127,400,7,4,6,66,7,0,27,60,0,0,0,2,30,0,0,0,1,15,0,4,18,0,247,21,22,290,0,290,--,396,106,247,290,290,Algún campo sin dato,1,0ff3da197d491512eb9f375f8df4cbaa4aa17b22c012334a8ba857905659667d,25/06/2023 23:36:13,ESCANER
9241,"Sololá",7,"Nahualá",5,1128,400,6,2,10,92,2,0,27,61,0,0,3,2,17,0,0,0,1,12,0,3,17,1,256,18,23,297,0,297,--,400,103,256,297,297,Algún campo sin dato,1,05784fbee03a6fafc7d9343123bc9b23d287a983c6d852e6e18776b5c114d0f7,25/06/2023 21:58:00,ESCANER
9242,"Sololá",7,"Nahualá",5,1128,400,4,2,3,78,6,0,21,65,0,0,2,3,31,0,0,0,0,18,0,3,11,0,247,18,17,282,0,282,--,400,118,247,282,282,Algún campo sin dato,1,caa97fdc75a74abd0d7ae2b96ed51fd08edbd691358b80a763b17dcff8b8adcc,25/06/2023 21:44:21,ESCANER
9243,"Sololá",7,"Nahualá",5,1128,400,1,4,13,79,1,0,28,51,0,0,0,2,30,0,0,0,1,20,0,7,16,0,253,22,13,288,0,288,--,400,112,253,288,288,Algún campo sin dato,1,2ffd6799de4854b1966d9405476d15a272ad34a0af098dfd78351ef6997e71b9,25/06/2023 21:55:05,ESCANER
9244,"Sololá",7,"Nahualá",5,1128,400,2,5,4,75,1,2,30,68,0,0,1,3,17,0,0,0,1,17,0,3,16,0,245,21,16,282,0,282,--,400,118,245,282,282,Algún campo sin dato,1,c0ccb805a849c77fba40c7e8808003b6fb6d1ea2a99e0b33b5171bf8ea9ac065,26/06/2023 02:41:43,ESCANER
9245,"Sololá",7,"Nahualá",5,1128,312,3,2,9,55,3,1,20,38,0,0,1,0,17,0,0,0,0,23,0,4,10,1,187,16,8,211,0,211,--,312,101,187,211,211,Algún campo sin dato,1,0d5eedda83a263f37c90b27e540184d61c0cdd22c44d0bc228ec8277369933c6,25/06/2023 22:18:01,ESCANER
9246,"Sololá",7,"Nahualá",5,1128,312,2,7,3,56,1,0,13,58,0,0,0,1,8,0,0,0,0,9,0,3,11,1,173,17,23,213,0,213,--,312,99,173,213,213,Algún campo sin dato,1,b87286e20de9084b9f28364d3accbac4b64f675a1bb8ff7e38606e6a6b8eafc2,25/06/2023 21:54:44,ESCANER
9247,"Sololá",7,"Nahualá",5,1129,400,6,1,5,61,1,0,48,62,0,0,1,0,15,1,0,0,3,8,0,12,17,0,241,43,34,318,0,318,--,400,82,241,318,318,Algún campo sin dato,1,cf178be2eeca5fc3ebfc5b779ab24eb89e1982900beacfb11aea1941e24169c3,26/06/2023 00:18:13,ESCANER
9248,"Sololá",7,"Nahualá",5,1129,400,4,2,7,69,3,1,37,87,--,--,--,--,18,--,1,--,--,11,--,10,15,2,267,30,49,346,2,348,--,380,32,267,346,348,Algún campo sin dato,1,545b705d364c05d961bbb8201f36f0eeb4e651591ab8ee4cd966c2531b5eedaa,26/06/2023 02:13:28,ESCANER
9249,"Sololá",7,"Nahualá",5,1129,400,6,1,8,63,4,0,32,96,0,0,2,0,18,0,1,0,2,9,0,17,18,0,277,30,45,352,0,352,--,400,48,277,352,352,Algún campo sin dato,1,729c2b94015832b364d90dbbea06d83055000452f53bddde14a862b51d5d9b78,26/06/2023 01:35:25,ESCANER
9250,"Sololá",7,"Nahualá",5,1129,400,8,4,4,59,12,0,13,68,0,1,2,0,18,0,1,1,1,18,2,26,18,3,259,34,52,345,0,345,--,400,55,259,345,345,Algún campo sin dato,1,6b0b63d36e91df34baec1dbb67357c3133c6b1564c0c061359a406b4fd0620da,25/06/2023 23:26:12,ESCANER
9251,"Sololá",7,"Nahualá",5,1129,400,4,2,5,75,3,1,19,87,0,0,2,0,23,0,1,0,1,13,1,10,8,0,255,25,54,334,0,334,--,399,65,255,334,334,Algún campo sin dato,1,8f7db2bd418c08f0ae3603d11259a9c36832ac83b179b1fa9743120f03e64fa0,26/06/2023 01:45:15,ESCANER
9252,"Sololá",7,"Nahualá",5,1129,400,0,1,12,140,3,2,20,78,0,0,0,0,12,0,0,0,0,8,0,6,4,0,286,23,32,341,0,341,--,400,59,286,341,341,Algún campo sin dato,1,0052d5c05ac7efd59963ca49beb658032aa6117de8c6a7f46633394cc7c2d9d0,26/06/2023 04:44:07,ESCANER
9253,"Sololá",7,"Nahualá",5,1129,400,6,2,4,99,3,0,37,74,0,0,0,2,11,0,0,0,0,5,0,4,8,0,255,21,42,318,0,318,--,400,82,255,318,318,Algún campo sin dato,1,a2539b4f09f5d126631b64727dd72a2c908aac08c6ac543a48d9ac0db789ecf5,25/06/2023 22:35:37,ESCANER
9254,"Sololá",7,"Nahualá",5,1129,400,12,0,10,122,6,0,25,49,0,0,0,0,11,0,0,1,0,8,0,1,4,0,249,31,44,324,0,324,--,400,76,249,324,324,Algún campo sin dato,1,11e7eaceba713d0ade6076ac387b808f70bc4026d863dd2255cc79509fac05ae,25/06/2023 23:11:57,ESCANER
9255,"Sololá",7,"Nahualá",5,1129,400,12,1,4,71,2,0,29,43,0,0,0,2,22,1,1,0,0,8,2,8,10,0,216,29,38,283,0,283,--,403,120,216,283,283,Algún campo sin dato,1,5a812ccab84b9aa8bf1514a0f333102f41c0353d94752805e2625d4f08fd5f1d,26/06/2023 01:14:00,ESCANER
9256,"Sololá",7,"Nahualá",5,1129,400,9,0,10,49,1,0,42,51,0,0,1,1,27,2,0,0,0,10,0,14,8,0,225,24,26,275,--,--,--,400,125,225,275,275,Algún campo sin dato,1,93c61bdbf452615dea61d11857fa81341a8856349144d1133060fae197d61b0c,26/06/2023 01:28:49,ESCANER
9257,"Sololá",7,"Nahualá",5,1130,400,6,0,6,75,3,1,27,49,0,0,1,2,16,0,1,1,0,17,0,7,12,0,224,32,35,291,0,291,--,401,110,224,291,291,Algún campo sin dato,1,8a51a5e46c50f7cd3875e6483f9100814a534080d2845020c0436957ab59141c,25/06/2023 21:48:42,ESCANER
9258,"Sololá",7,"Nahualá",5,1130,400,6,0,9,73,2,1,33,61,0,0,0,2,19,0,0,0,0,13,1,11,15,0,246,22,26,294,0,294,--,400,106,246,294,294,Algún campo sin dato,1,ca9148266ec2616b6afb2ade770a29d0c069181a186f35cd2e546a854114f6a8,25/06/2023 23:53:41,ESCANER
9259,"Sololá",7,"Nahualá",5,1130,400,5,3,6,58,2,0,36,65,0,0,0,1,21,0,1,0,1,14,0,10,11,1,235,21,16,272,0,272,--,400,128,235,272,272,Algún campo sin dato,1,74ac0201adc7d001e2d079f04d0dd067bac7985e39d90293daaeb926fc7cb641,25/06/2023 22:40:29,ESCANER
9260,"Sololá",7,"Nahualá",5,1130,400,9,3,9,41,2,0,43,51,0,0,1,0,15,1,0,0,0,14,0,4,21,0,214,26,19,259,0,259,--,400,141,214,259,259,Algún campo sin dato,1,663b3550c95329f119fdc966d2390e675e397e5c09934213b25ba13d6edb1b23,25/06/2023 22:45:41,ESCANER
9261,"Sololá",7,"Nahualá",5,1130,264,4,1,6,31,0,0,28,44,0,0,0,1,13,0,0,0,1,9,1,2,4,0,145,13,17,175,2,177,--,261,84,145,175,177,Algún campo sin dato,1,dbbc336439a136b90559081a8a3dc7bbb727c72760f24ce690e896ce5c60386b,25/06/2023 23:59:31,ESCANER
9262,"Sololá",7,"Nahualá",5,1130,264,4,0,3,29,2,0,23,45,0,0,0,0,12,0,0,0,0,2,1,5,8,0,134,22,13,169,0,169,--,264,95,134,169,169,Algún campo sin dato,1,69846a50ae1274a9ef177161d55a243c0552abcd61d5a0443435936cd7021cea,25/06/2023 22:52:21,ESCANER
9263,"Sololá",7,"Nahualá",5,1131,400,8,1,8,111,2,0,31,84,0,0,0,0,16,0,1,0,0,10,0,6,5,0,283,19,34,336,0,336,--,400,64,283,336,336,Algún campo sin dato,1,a27cf1f4ea1d8b38c427cea369807e5e60596bebefafd64a79b48cba378c3cd5,25/06/2023 22:07:23,ESCANER
