TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
538,495,92.0074,495,92.0074,0,188002,115439,61.4030

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,PIN,VALOR,MLP,UNE,VICTORIA,ELEFANTE,WINAQ,VAMOS,U R N G - MAIZ,PPN,TODOS,CREO,BIEN,CAMBIO,PHG,PODEMOS,FCN-NACION,VIVA,PR,MI FAMILIA,UR,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12628,"Retalhuleu",11,"Retalhuleu",1,1725,400,37,1,1,92,1,4,1,0,1,30,2,4,1,0,38,0,0,0,0,8,0,0,0,12,233,13,1,247,0,247,--,401,154,233,247,247,Algún campo sin dato,1,9b3907efc6bed62439ebcdb0986c2edabc40486df09008a70e9e95e908433f58,26/06/2023 00:50:16,ESCANER
12629,"Retalhuleu",11,"Retalhuleu",1,1725,400,46,2,0,78,2,5,0,0,4,21,2,9,1,1,41,0,0,0,1,14,4,2,1,9,243,21,11,275,0,275,4,400,121,243,275,275,,1,61d4db5176447014536d1650a1fd89c6788d9132cb20b2555ccd5310e6dd3fb3,26/06/2023 01:49:20,ESCANER
12630,"Retalhuleu",11,"Retalhuleu",1,1725,400,42,0,3,103,1,8,1,2,2,18,1,7,0,0,40,1,0,0,0,10,1,0,1,12,253,28,8,289,0,289,--,400,111,253,289,289,Algún campo sin dato,1,0a149632eb439ddb59907d1e4d0af5a60dafe0b24f8819e615cdb5364214bc05,26/06/2023 01:13:56,ESCANER
12631,"Retalhuleu",11,"Retalhuleu",1,1726,400,50,2,1,107,4,8,1,0,2,17,1,9,0,2,36,0,0,2,0,6,0,0,1,8,257,35,5,297,0,297,--,400,103,257,297,297,Algún campo sin dato,1,adda1aeec32484834ba559de031d6a33d2d8dde8e06fc635c0b6307af7ea2225,25/06/2023 23:17:45,ESCANER
12632,"Retalhuleu",11,"Retalhuleu",1,1726,400,35,1,1,96,1,3,0,0,0,27,2,4,1,1,37,0,0,0,0,3,1,1,0,7,221,12,13,246,0,246,--,400,154,221,246,246,Algún campo sin dato,1,153835d3db592e80ae320fd9885c6314763e8baa1238434f3cc57d4cb124d801,26/06/2023 00:19:12,ESCANER
12633,"Retalhuleu",11,"Retalhuleu",1,1726,400,45,0,2,93,2,2,0,1,2,19,3,9,0,0,28,0,0,0,0,3,0,0,2,7,218,12,3,233,2,235,--,400,165,218,233,235,Algún campo sin dato,1,f161a23bfb03cbd077743c7d70055f6f9afb4cfed223c49d69c94935aced6677,26/06/2023 00:15:31,ESCANER
12634,"Retalhuleu",11,"Retalhuleu",1,1726,373,27,0,0,110,1,2,0,1,2,19,4,11,4,1,32,0,0,0,0,4,1,0,0,6,225,15,0,240,1,241,--,373,132,225,240,241,Algún campo sin dato,1,447c4c06d5edc5310a9fa3835592588c7aa718cb213f26ae28f50c3ced56f1be,26/06/2023 01:23:11,ESCANER
12635,"Retalhuleu",11,"Retalhuleu",1,1726,372,27,1,0,82,1,1,0,0,3,9,2,4,0,0,36,0,0,0,0,4,0,1,0,6,177,13,4,194,0,194,--,372,178,177,194,194,Algún campo sin dato,1,84fd9469bb5ee34a9aae2b00fdae4cac7c388b0a60753a898897568de03614de,25/06/2023 23:03:55,ESCANER
12636,"Retalhuleu",11,"Retalhuleu",1,1727,400,49,2,3,74,3,2,0,2,7,19,4,8,1,4,29,0,1,0,0,11,1,1,0,17,238,28,15,281,2,283,--,400,117,238,281,283,Algún campo sin dato,1,4b7b9d870e70585937fd31a3fde8d0610e14f7d027fe3f2bf8a04e38994d6a2f,26/06/2023 03:35:50,ESCANER
12637,"Retalhuleu",11,"Retalhuleu",1,1727,400,64,2,1,81,3,2,0,1,4,25,3,16,1,3,26,0,0,0,2,10,0,1,1,8,254,29,7,290,0,290,--,400,110,254,290,290,Algún campo sin dato,1,be17cbb9aa18f86344c2bc374d3c4efcd05191491bc6d120c1b6ab9736c29417,26/06/2023 00:38:28,ESCANER
12638,"Retalhuleu",11,"Retalhuleu",1,1727,400,71,4,0,77,6,6,1,2,2,23,4,11,0,0,27,0,1,0,0,6,1,2,4,13,261,29,6,296,0,296,--,400,104,261,296,296,Algún campo sin dato,1,d2ece0b77f09ce936815000ea11346cc93ea983abe2a532b9fbbbbd30990891d,26/06/2023 00:57:16,ESCANER
12639,"Retalhuleu",11,"Retalhuleu",1,1727,400,59,7,6,64,3,4,1,1,2,27,6,12,2,0,34,0,0,0,1,13,0,1,1,11,255,29,9,293,0,293,--,400,107,255,293,293,Algún campo sin dato,1,14e917c236fc500e779c56eea476cdac067839e081dbb43e168d6964ea23cb30,25/06/2023 23:06:48,ESCANER
12640,"Retalhuleu",11,"Retalhuleu",1,1727,400,73,2,1,70,1,4,4,2,4,20,5,12,1,0,25,0,0,1,3,10,1,0,2,19,260,31,9,300,0,300,--,401,101,260,300,300,Algún campo sin dato,1,f7571bea0b375a8c44bbb75663b6d4a3b3101d115426765a6a3e2b028ee0ab97,26/06/2023 01:39:47,ESCANER
12641,"Retalhuleu",11,"Retalhuleu",1,1727,400,56,4,1,78,4,2,0,0,1,19,7,14,6,0,43,0,0,0,0,8,0,0,1,17,261,28,2,291,0,291,--,400,109,261,291,291,Algún campo sin dato,1,1984e97ab5c54d20f30a2be37c70205b80909efe0fd4674206e5c4bba9b618a9,25/06/2023 23:41:29,ESCANER
12642,"Retalhuleu",11,"Retalhuleu",1,1727,400,56,4,1,83,6,4,1,1,2,17,4,8,3,0,35,1,0,0,1,9,0,1,2,9,248,34,5,287,0,287,0,400,115,248,287,287,,1,20e6669f8af7c5f7938ebb26edc358b932e9cb1df51dbcb2b909c33793eece3a,26/06/2023 04:29:51,ESCANER
12643,"Retalhuleu",11,"Retalhuleu",1,1727,400,66,1,1,69,1,5,0,0,2,21,8,19,0,1,34,2,0,0,1,8,0,3,4,11,257,30,8,295,0,295,--,397,102,257,295,295,Algún campo sin dato,1,b9861fbb2cb99fd8de37989af7333b8713ecd34aa663d0fa57e0969ece732eb8,26/06/2023 02:17:57,ESCANER
12644,"Retalhuleu",11,"Retalhuleu",1,1727,400,72,3,3,70,4,2,2,3,2,23,6,13,1,0,38,0,0,1,0,9,0,0,1,7,260,28,15,303,0,303,1,400,96,260,303,303,,1,3e0a7f8ec682dc3b4f7c1f0a21c9feee6fa88db2274e4bfa0e9fd4f04ebb8129,26/06/2023 03:43:21,ESCANER
12645,"Retalhuleu",11,"Retalhuleu",1,1727,400,67,2,2,83,2,5,0,3,6,24,2,13,2,1,37,0,1,0,0,6,3,1,2,9,271,32,3,306,0,306,--,400,94,271,306,306,Algún campo sin dato,1,f6d5111fdde9c310d0c89549b2e0593185ea41518a15cb29fe8d1249a91f2683,25/06/2023 22:00:59,ESCANER
12646,"Retalhuleu",11,"Retalhuleu",1,1727,400,56,1,2,79,2,2,1,1,5,15,3,9,2,0,28,0,0,1,0,6,3,1,3,10,230,27,4,261,0,261,--,400,139,230,261,261,Algún campo sin dato,1,6e760fbbefa71483f14786b391ffccb6cd3600621eb9d96a7ad64b70b9742d84,26/06/2023 00:12:39,ESCANER
12647,"Retalhuleu",11,"Retalhuleu",1,1727,400,68,3,1,66,5,2,2,1,9,24,2,9,4,0,27,0,0,1,0,6,2,2,1,9,244,18,5,267,0,267,--,400,133,244,267,267,Algún campo sin dato,1,c54a83bd55d5757cccbe7cbaf60121289c75d18cef86630ce1e6327adf820713,26/06/2023 02:23:34,ESCANER
12648,"Retalhuleu",11,"Retalhuleu",1,1727,400,66,6,1,79,7,4,1,0,1,12,2,14,2,1,24,1,0,0,0,10,0,0,1,5,237,25,6,268,0,268,--,400,132,237,268,268,Algún campo sin dato,1,3a9d55343e93b4f7b36330127aaa07cd2cda955a380684e2c1a94cb4e6b60b48,26/06/2023 01:02:13,ESCANER
12649,"Retalhuleu",11,"Retalhuleu",1,1727,400,67,1,2,60,4,2,1,0,2,21,4,12,1,0,32,0,0,1,0,6,0,1,2,15,234,31,4,269,0,269,--,400,131,234,269,269,Algún campo sin dato,1,6471f13d6b43b11140f2a0d9d885bf77ab6d1f8e54473d383ef89af41e498258,25/06/2023 23:23:20,ESCANER
12650,"Retalhuleu",11,"Retalhuleu",1,1728,400,65,2,1,71,1,6,1,1,2,22,4,18,4,0,34,0,0,0,0,9,1,0,2,15,259,20,3,282,0,282,--,400,118,259,282,282,Algún campo sin dato,1,bb43eb1972736e03445b24e5cd103b86bb32cc68b54d5ca38b1857f3821aee1a,26/06/2023 02:58:54,ESCANER
12651,"Retalhuleu",11,"Retalhuleu",1,1728,400,60,11,1,64,1,2,1,2,2,16,6,11,2,0,23,1,0,0,0,11,2,0,1,9,226,20,9,255,0,255,--,400,145,226,255,255,Algún campo sin dato,1,f9d9d919986a54a241fcbe9abe4f8f2b9ab6778ce2a6b508eba9cdb638981659,26/06/2023 01:50:17,ESCANER
12652,"Retalhuleu",11,"Retalhuleu",1,1728,400,64,4,2,63,3,2,0,0,4,21,2,17,2,0,41,0,0,1,1,8,2,0,3,14,254,25,0,279,0,279,--,398,118,254,279,279,Algún campo sin dato,1,2ad1269232643fda8099868abcfe6b339644df292f2dfe76b976a2d8127f7e1c,26/06/2023 02:37:06,ESCANER
12653,"Retalhuleu",11,"Retalhuleu",1,1728,400,70,4,3,75,3,2,0,0,0,20,2,10,0,0,28,1,0,0,0,11,3,0,1,10,243,22,6,271,0,271,--,400,129,243,271,271,Algún campo sin dato,1,3b9a418d21218a0488a669726eafbb5470a304de49a7b6dd7ba964961ffa32e4,25/06/2023 23:50:57,ESCANER
12654,"Retalhuleu",11,"Retalhuleu",1,1728,400,46,2,0,81,3,3,0,1,1,22,4,7,1,0,37,0,0,0,0,12,0,0,1,10,231,25,7,263,0,263,--,401,138,231,263,263,Algún campo sin dato,1,ab0d640c70d1404e2d1b0b90b80b564228f54f5fb3fb8483ef5131f80a5d780c,26/06/2023 00:31:58,ESCANER
12655,"Retalhuleu",11,"Retalhuleu",1,1728,400,45,5,1,70,2,5,1,1,0,20,5,7,0,0,30,0,0,1,0,3,1,1,1,9,208,33,9,250,0,250,--,400,150,208,250,250,Algún campo sin dato,1,5e72b4b031d4eaae8303b41e95067ab83ad5f9198306527961e3ca6a3165a351,26/06/2023 01:57:05,ESCANER
12656,"Retalhuleu",11,"Retalhuleu",1,1728,400,50,4,0,76,4,6,0,0,2,20,5,12,0,0,19,0,0,1,0,3,0,0,1,15,218,20,2,240,0,240,--,400,160,218,240,240,Algún campo sin dato,1,fa198aac0cb83d2022bee990b0410a5dcd2d47c5ca400da9ef69dc559cbb9d63,26/06/2023 03:01:15,ESCANER
12657,"Retalhuleu",11,"Retalhuleu",1,1728,400,50,0,0,75,3,2,0,0,3,25,5,8,1,0,29,1,0,0,0,2,1,2,0,22,229,17,2,248,0,248,--,400,152,229,248,248,Algún campo sin dato,1,f2199659e269e514dc5d85f5373a35e556e41ed437355e617b20df7f93d9a952,26/06/2023 03:09:43,ESCANER
12658,"Retalhuleu",11,"Retalhuleu",1,1728,400,66,0,0,56,5,2,0,1,2,10,6,9,3,1,29,0,1,1,1,6,3,0,2,25,229,0,3,232,7,239,--,400,161,229,232,239,Algún campo sin dato,1,6a9c3c7a1c87fc0b7249f73921329a29b168f5fc3c08b1b9fa7d4990410ed29b,26/06/2023 00:40:52,ESCANER
