TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
863,863,100.0000,862,99.8841,1,321074,196667,61.2528

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,AZUL,PHG,VALOR,CABAL,VICTORIA,TODOS,VAMOS,P A N,PPN,ELEFANTE,UR,UNE,MI FAMILIA,BIEN,FCN-NACION,VIVA,PODEMOS,CREO,UNIONISTA,CAMBIO,VOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23589,"Jutiapa",22,"Jutiapa",1,3704,400,6,40,1,17,12,3,31,49,1,1,8,2,26,0,8,0,2,1,0,6,10,18,1,243,30,6,279,0,279,--,400,121,243,279,279,Algún campo sin dato,1,3cd0b6f475bdb11da43bee959b5d4b4bec6e6a19db85c8d79932a16cae261cf6,26/06/2023 02:26:43,ESCANER
23590,"Jutiapa",22,"Jutiapa",1,3704,400,7,37,4,9,17,10,28,29,2,1,4,1,18,0,8,0,5,2,1,4,8,14,2,211,34,2,247,0,247,--,400,153,211,247,247,Algún campo sin dato,1,d79fc0b7025362800c193ac856dd735329ef109974c813342076e1a6710bb749,26/06/2023 00:46:11,ESCANER
23591,"Jutiapa",22,"Jutiapa",1,3704,400,2,45,4,7,11,15,29,16,2,1,6,1,15,0,9,0,2,1,3,1,10,10,1,191,39,4,234,0,234,--,400,166,191,234,234,Algún campo sin dato,1,83a9a64831a121222e215e079e1c53d2844e97074dbb39a296dd42c6d470f4dc,26/06/2023 01:11:08,ESCANER
23592,"Jutiapa",22,"Jutiapa",1,3704,400,1,46,3,10,20,7,26,32,0,1,2,6,15,1,10,1,3,1,0,1,14,7,0,207,22,3,232,0,232,--,400,168,207,232,232,Algún campo sin dato,1,f9bca52fcde0f2b10c0dd2f523c40c7f695f994ef114fcc8347a4c703b8d5fa8,25/06/2023 23:46:03,ESCANER
23593,"Jutiapa",22,"Jutiapa",1,3705,400,3,47,6,14,14,5,9,22,0,2,7,2,10,1,3,0,5,0,2,3,20,11,0,186,18,3,207,0,207,--,400,190,186,207,207,Algún campo sin dato,1,d22ff18187563d845865316985b4e5ea55d50c7583200719bde790b588a3e1c4,25/06/2023 23:37:02,ESCANER
23594,"Jutiapa",22,"Jutiapa",1,3705,400,8,51,2,22,33,3,17,40,0,0,2,2,11,0,5,0,0,0,1,1,22,22,0,242,20,3,265,132,397,--,397,132,242,265,397,Algún campo sin dato,1,44c7bd2c3a3ea5801b41db2cc7a5a28dbb4caf65936e00f94b236c81a0f7e12f,26/06/2023 01:18:38,ESCANER
23595,"Jutiapa",22,"Jutiapa",1,3705,327,2,37,6,8,20,3,24,35,0,1,1,2,6,0,5,1,3,1,0,4,13,20,0,192,16,4,212,0,212,--,321,109,192,212,212,Algún campo sin dato,1,1c1ef1a08c4819dab84d557b215baf38e081d41d3a4846aeba200f0709f6de9f,26/06/2023 00:59:23,ESCANER
23596,"Jutiapa",22,"Jutiapa",1,3705,326,3,27,5,12,9,6,14,15,0,0,2,0,6,1,3,0,1,0,1,1,9,10,1,124,16,1,141,1,142,--,329,187,126,143,144,Sumas Asentadas sin cuadrar,1,bdb0d66336011c80ec2192f7f58d10a9612f7050c8d7f7e71cb2b1932659e5cb,26/06/2023 01:49:19,ESCANER
23597,"Jutiapa",22,"Jutiapa",1,3706,377,2,43,3,10,25,4,26,36,2,2,6,1,23,1,6,0,0,2,2,2,13,9,0,218,39,3,260,0,260,--,371,111,218,260,260,Algún campo sin dato,1,61bc972f5450a668ffd0b91b095ddcbad585258856f095dd3e35e287cb6fb886,26/06/2023 03:04:14,ESCANER
23598,"Jutiapa",22,"Jutiapa",1,3706,377,5,41,2,8,23,5,27,44,1,0,3,1,14,2,5,0,2,3,0,1,13,17,0,217,40,6,263,0,263,--,263,111,217,263,263,Algún campo sin dato,1,632b3689b72142f82ab442cba25943d2a0305610b80a77753b9c345185ec966b,26/06/2023 01:04:59,ESCANER
23599,"Jutiapa",22,"Jutiapa",1,3707,400,1,56,8,7,25,8,15,26,2,2,4,2,16,2,5,1,5,2,0,5,16,3,0,211,29,8,248,0,248,--,--,--,211,248,248,Algún campo sin dato,1,e5173286b040cabf4b47c55ca3440f5265ab84f9852f1c0876dc839cb5f77df7,26/06/2023 00:28:34,ESCANER
23600,"Jutiapa",22,"Jutiapa",1,3707,400,0,62,8,12,25,10,20,20,1,0,5,5,16,0,4,0,4,0,2,3,18,5,0,220,29,6,255,0,255,--,400,145,220,255,255,Algún campo sin dato,1,57466346dc08aa590affc9369ca63f52d6f6a98cb44e0e6e8bdb63f1d3324461,26/06/2023 01:13:04,ESCANER
23601,"Jutiapa",22,"Jutiapa",1,3707,400,2,45,15,9,17,16,21,23,0,0,2,5,15,2,2,0,3,2,1,2,12,3,0,196,41,1,246,0,246,0,400,154,197,239,239,Sumas Asentadas sin cuadrar,1,02bd999d8dfa3814df321f5d2fb1c218627d210c1ce8e860cb8e84eaacb8fda7,26/06/2023 04:31:09,ESCANER
23602,"Jutiapa",22,"Jutiapa",1,3707,400,3,51,12,12,24,7,24,16,0,0,1,4,15,0,6,2,6,0,0,7,6,4,0,200,44,11,255,0,255,--,394,139,200,255,255,Algún campo sin dato,1,acf96841b21d24562b81d56fa3e3039cc9a2ae0bb84d620b11f355492673540b,26/06/2023 02:12:10,ESCANER
23603,"Jutiapa",22,"Jutiapa",1,3708,400,3,42,2,8,19,15,20,30,0,0,5,3,21,1,3,0,5,1,0,5,15,5,0,203,49,10,262,134,396,--,399,137,203,262,396,Algún campo sin dato,1,d9c960e1d7034934656d4a424f75fcfee206b918e487e86aefd245838f945a6c,26/06/2023 01:46:18,ESCANER
23604,"Jutiapa",22,"Jutiapa",1,3708,400,2,54,8,11,22,13,31,27,0,0,2,2,24,0,5,1,2,2,0,5,14,7,0,232,29,3,264,136,400,--,400,136,232,264,400,Algún campo sin dato,1,0bd5bb423009b67e09fe5787f3d20156ee6098bbd597cfea17c526c8559d95ad,26/06/2023 00:49:31,ESCANER
23605,"Jutiapa",22,"Jutiapa",1,3708,400,2,72,2,12,19,15,27,13,0,1,2,2,20,0,1,0,5,0,0,1,19,4,0,217,24,7,248,0,248,--,400,152,217,248,248,Algún campo sin dato,1,561a3f3a3cf2c808f456d0cfb5a0d6607dd838a05bc79a1f5e9416f0fc4d591a,26/06/2023 03:07:37,ESCANER
23606,"Jutiapa",22,"Jutiapa",1,3708,400,1,59,7,10,26,8,20,19,1,0,8,1,16,4,5,1,2,0,0,3,13,8,1,212,34,11,257,0,257,--,400,143,213,258,258,Sumas Asentadas sin cuadrar,1,aec567f11fa8bf3d08b35d5c071e5fc1a73bfeccdeb9eb7fac144c3c2357ffb6,26/06/2023 03:39:11,ESCANER
23607,"Jutiapa",22,"Jutiapa",1,3708,400,1,51,5,12,21,11,23,20,0,1,2,5,34,2,3,1,2,2,0,1,14,7,0,218,22,9,218,2,251,--,400,149,218,249,251,Sumas Asentadas sin cuadrar,1,e74ed522107af252c82d13cede766fc430e0f66601ca7465e683b9c837c7213f,26/06/2023 02:37:46,ESCANER
23608,"Jutiapa",22,"Jutiapa",1,3708,400,4,56,6,7,16,7,21,30,3,0,7,3,14,2,7,0,8,0,0,1,13,10,3,218,50,6,274,0,274,--,397,129,218,274,274,Algún campo sin dato,1,2252882cf88f094f3e91b41821a83ff00c0038ec6db72a4356318ff954d3c9b0,26/06/2023 02:48:07,ESCANER
23609,"Jutiapa",22,"Jutiapa",1,3709,400,1,53,4,16,20,16,18,17,0,0,2,3,16,0,2,1,4,1,0,2,20,6,0,203,31,3,237,0,237,--,400,163,202,236,236,Sumas Asentadas sin cuadrar,1,715cb6a4759397a62d10a29941dad3970ea893cc7da0bfc6c72102780c661ad2,26/06/2023 00:18:57,ESCANER
23610,"Jutiapa",22,"Jutiapa",1,3709,400,3,51,2,20,25,9,29,17,1,0,4,5,15,0,3,1,4,0,0,2,14,5,0,210,19,5,234,0,234,--,400,166,210,234,234,Algún campo sin dato,1,1e2a79b3407eed4e5bbe413a021a3719cf6b645535a247ea5ee63389e71c583b,26/06/2023 00:56:24,ESCANER
23611,"Jutiapa",22,"Jutiapa",1,3709,400,5,51,5,12,25,3,13,16,0,0,5,3,22,0,9,0,8,1,2,3,20,3,0,206,17,2,225,0,225,--,400,175,206,225,225,Algún campo sin dato,1,f681d09cd53bdf2a3211cef063e51e1c90c06cdae8560e2217821f00a58e56d7,26/06/2023 02:12:51,ESCANER
23612,"Jutiapa",22,"Jutiapa",1,3709,400,3,65,3,18,15,7,26,26,1,2,4,3,16,0,3,0,6,1,1,0,18,10,0,228,16,2,246,0,246,--,397,151,228,246,246,Algún campo sin dato,1,fb73b3a9cc1531217d8f0f4dd1c78c56539c05ab7a46638db12dc06d32f857f6,26/06/2023 01:15:39,ESCANER
23613,"Jutiapa",22,"Jutiapa",1,3709,329,5,57,5,7,12,6,8,12,0,0,3,0,20,1,2,0,5,1,1,2,20,5,0,172,18,2,192,0,192,--,328,136,172,192,192,Algún campo sin dato,1,059048a7b648e920ed32b635df4aa52eb9e2637abb5d88c9071323e530168021,26/06/2023 00:23:07,ESCANER
23614,"Jutiapa",22,"Jutiapa",1,3709,329,2,48,3,11,17,4,17,18,0,0,6,5,16,1,1,0,2,0,0,1,14,12,0,178,11,2,191,0,191,--,329,138,178,191,191,Algún campo sin dato,1,7ab1952e37705cd05d601f072ac48a85a77ea21d959fde0417467d8f7d9acb57,26/06/2023 00:45:12,ESCANER
23615,"Jutiapa",22,"Jutiapa",1,3710,400,5,34,2,12,19,8,25,17,1,1,2,3,29,1,5,1,4,0,2,0,10,4,0,185,46,15,246,0,246,--,400,154,185,246,246,Algún campo sin dato,1,0378149077be08396bd56dc481a4a3f998730de60cbc0e95e7f78ddc49492139,26/06/2023 01:49:52,ESCANER
23616,"Jutiapa",22,"Jutiapa",1,3710,400,7,39,7,14,18,3,31,22,0,0,1,4,15,1,4,0,5,0,2,1,10,4,0,188,34,10,232,0,232,--,395,163,188,232,232,Algún campo sin dato,1,e782c51c89bf6ff3847e5ba32a66fa6f0da265c004a277defd2a978d36c1c257,26/06/2023 01:31:39,ESCANER
23617,"Jutiapa",22,"Jutiapa",1,3710,400,3,48,0,12,15,4,34,22,3,0,1,2,13,1,1,1,8,1,0,1,7,8,0,185,28,6,219,0,219,--,400,181,185,219,219,Algún campo sin dato,1,5fce6845f705befc3d546ddbed8ac79eb669375af5b4f8eea87a5a6d7349bf7e,26/06/2023 02:58:09,ESCANER
23618,"Jutiapa",22,"Jutiapa",1,3710,400,2,57,1,8,17,9,27,18,0,1,3,1,18,1,7,1,3,0,1,1,5,12,0,193,31,8,232,0,232,--,401,169,193,232,232,Algún campo sin dato,1,ea9502eaa4bf71d6aac3ac7e2a30cd27355766e864c5d58ec58ff591313eb8da,26/06/2023 01:43:32,ESCANER
23619,"Jutiapa",22,"Jutiapa",1,3710,400,4,26,3,11,25,6,21,20,1,1,2,1,18,1,7,0,6,1,0,0,5,7,2,168,26,5,199,0,199,--,397,198,168,199,199,Algún campo sin dato,1,8f8f94f42ce4504e4c9a886c83a44a9dc657a2d0adb1ce514366876a79abb981,26/06/2023 01:54:44,ESCANER
23620,"Jutiapa",22,"Jutiapa",1,3710,264,5,31,4,5,11,1,14,20,0,1,2,1,8,0,4,0,4,0,1,0,10,6,0,128,11,0,139,0,139,--,264,125,128,139,139,Algún campo sin dato,1,c7de25186fb1fbf8f63dce457c0b3ee60657ad8f88e644eda58a6f8fe20c5b89,25/06/2023 23:25:19,ESCANER
23621,"Jutiapa",22,"Jutiapa",1,3710,264,0,22,6,16,8,1,15,9,0,1,2,2,12,0,3,0,2,0,0,0,6,10,0,115,13,4,132,0,132,--,264,133,115,132,132,Algún campo sin dato,1,806c656a85a1fc44f95c72a3f8067c3d1088ccfafb617a4ffa50b9a9f287f6f9,26/06/2023 02:33:25,ESCANER
23622,"Jutiapa",22,"Jutiapa",1,3711,400,1,24,2,20,24,9,35,35,0,1,2,2,15,1,2,0,2,0,1,2,4,5,2,189,40,8,237,0,237,0,390,153,189,237,237,,1,361966c4a8098f936477029ecec5ff6dc608c4cc946cc2100363a57f21d97659,26/06/2023 02:08:26,ESCANER
