TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
877,877,100.0000,875,99.7719,2,324499,174813,53.8716

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,PHG,TODOS,VALOR UNIONISTA,CABAL,UNE,URNG-MAIZ WINAQ,VAMOS,PIN,ELEFANTE,PPN,MLP,AZUL,BIEN,VICTORIA,UR,P A N,PODEMOS,MI FAMILIA,CAMBIO,FCN-NACION,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20364,"Petén",17,"Flores",1,3169,380,5,4,3,24,11,10,3,12,0,0,11,6,3,32,1,1,0,0,2,20,0,17,165,26,6,197,0,197,--,380,183,165,197,197,Algún campo sin dato,1,f0423753dc65816c359cdf23548d33d7833484e61606e9eee03277572d6ca656,26/06/2023 00:04:58,ESCANER
20365,"Petén",17,"Flores",1,3169,380,10,1,4,10,15,10,3,6,1,0,11,1,4,19,0,1,0,0,0,22,0,20,138,37,8,183,0,183,--,382,199,138,183,183,Algún campo sin dato,1,d1b7da06ebc45d6d16363bf284324f32d52788374faf3cc14c09136213dd11b8,26/06/2023 01:09:22,ESCANER
20366,"Petén",17,"Flores",1,3169,380,8,4,1,16,9,15,1,12,0,0,18,0,9,40,0,0,1,0,1,27,0,41,203,19,4,226,0,226,--,380,154,203,226,226,Algún campo sin dato,1,f61426428c5909e5c281b8b6384c5fc100c7982160713fb66f91b3c803b2eef4,26/06/2023 01:22:30,ESCANER
20367,"Petén",17,"Flores",1,3169,380,8,5,4,13,13,20,2,11,0,0,14,0,1,24,1,1,0,0,0,20,0,36,173,30,174,377,3,380,--,380,174,173,377,380,Algún campo sin dato,1,015a263ab837a3854ff39576c04b9ce3a14caf667f14f626b43596aa07f53d48,26/06/2023 01:31:19,ESCANER
20368,"Petén",17,"Flores",1,3169,380,10,2,1,13,7,6,3,11,2,1,12,3,3,24,0,0,1,0,0,28,0,19,146,24,5,175,0,175,--,380,205,146,175,175,Algún campo sin dato,1,53d874f33250a5382c6b863b31d96d5d1d8653f3ebd6708db55ff29019c9ed79,26/06/2023 00:55:16,ESCANER
20369,"Petén",17,"Flores",1,3169,380,7,3,2,23,11,21,1,13,1,1,10,5,2,36,0,0,0,1,0,28,0,33,224,24,1,224,1,224,--,377,153,198,223,224,Sumas Asentadas sin cuadrar,1,ea8844d733d6a9c0eeaf314bb2998fb789ec6418f80f7d888848c9edc346734a,25/06/2023 23:50:22,ESCANER
20370,"Petén",17,"Flores",1,3169,274,6,0,0,12,5,5,2,9,0,0,11,3,1,21,0,2,0,0,0,13,0,25,115,24,1,140,0,140,--,274,134,115,140,140,Algún campo sin dato,1,4a2b40038e03a77e470c7ed6328daf160bf764d783c74cb14223c9ff59dd885a,26/06/2023 00:44:24,ESCANER
20371,"Petén",17,"Flores",1,3169,274,6,0,0,3,11,8,0,7,0,0,9,2,1,7,0,0,0,1,0,10,0,6,71,12,3,86,0,86,--,274,188,71,86,86,Algún campo sin dato,1,8189219b8afb95ca9b47e260e2e1f0f1f0f54e64408c676ef1a282123f415f25,25/06/2023 22:15:28,ESCANER
20372,"Petén",17,"Flores",1,3170,380,6,1,4,6,32,27,3,17,0,0,21,3,1,2,0,0,1,1,1,29,1,1,157,32,32,221,0,221,--,380,159,157,221,221,Algún campo sin dato,1,5ad4054229830cc5e69a29bb9c513c95c80a357ded19c6cbc683437d7ec3d022,25/06/2023 22:48:40,ESCANER
20373,"Petén",17,"Flores",1,3170,380,4,0,1,3,30,19,1,12,0,1,23,3,1,9,1,1,0,0,0,26,1,4,140,25,29,194,0,194,--,380,186,140,194,194,Algún campo sin dato,1,2a40db4734083171bade053b13d4680cf1c10454497bc9fbeb24ee58a5d251cd,25/06/2023 23:07:03,ESCANER
