TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,73,100.0000,72,98.6301,1,26289,16750,63.7148

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,CAMBIO,MORENA,VAMOS,PIN,RENOVADOR,VALOR,AZUL,UNE,FCN-NACION,PODEMOS,UC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6934,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,7,11,4,134,0,26,89,0,0,1,2,0,274,4,1,279,0,279,0,400,121,274,279,279,,1,82951548b566cbcd8a331581e5a80466a603b48a816af8c8aee03a267ac2527b,26/06/2023 01:46:29,ESCANER
6935,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,10,15,3,166,1,24,69,1,0,0,0,0,289,2,2,293,0,293,--,380,87,289,293,293,Algún campo sin dato,1,e7917764f18b36b96c79119ede1c0f148236360f404cd4bd68233dcb4174e693,26/06/2023 02:41:57,ESCANER
6936,"El Progreso",4,"San Agustín Acasaguastlán",3,758,314,8,13,6,128,0,19,54,0,1,0,0,0,229,6,0,235,0,235,--,314,79,229,235,235,Algún campo sin dato,1,96b8dff3851791de12c91909152f85ae63e6fbdef5df728fa03500f2ce3fff9e,26/06/2023 02:09:13,ESCANER
6937,"El Progreso",4,"San Agustín Acasaguastlán",3,758,313,8,12,2,97,0,19,51,1,1,0,2,0,193,5,1,199,0,199,--,313,114,193,199,199,Algún campo sin dato,1,7a66abfa7d26a55ce77dd02b1d89138edc459f396a1ec7394cf86e6a534f65e4,26/06/2023 01:54:05,ESCANER
6938,"El Progreso",4,"San Agustín Acasaguastlán",3,759,380,4,3,1,69,3,47,60,3,17,2,1,7,217,26,7,250,0,250,--,400,150,217,250,250,Algún campo sin dato,1,ac359fcb2f9d38a2d9e2d7331c2b4ab37fe1b17cd307fa55d5b179706f6ae831,26/06/2023 01:07:28,ESCANER
6939,"El Progreso",4,"San Agustín Acasaguastlán",3,759,380,14,2,2,59,1,41,58,6,18,3,2,6,212,22,5,239,0,239,--,380,141,212,239,239,Algún campo sin dato,1,401c21d439b48ca61adbc154dbe87f4acd82407af59c219d409142e4f4835768,25/06/2023 23:39:37,ESCANER
6940,"El Progreso",4,"San Agustín Acasaguastlán",3,759,380,5,1,2,62,0,52,44,8,16,1,4,12,207,25,5,237,0,237,--,380,143,207,237,237,Algún campo sin dato,1,decb721c03c2640a29875a994a2586665c4e51cb5b2e091fa8f20f21c9481f11,26/06/2023 00:01:55,ESCANER
6941,"El Progreso",4,"San Agustín Acasaguastlán",3,760,380,4,0,1,54,0,55,48,5,8,0,1,12,188,26,9,223,0,223,--,380,157,188,223,223,Algún campo sin dato,1,61b48d907721207f8cecdf6fa31e178ae9be4a9514d7ae8959f342e6f5b1e511,26/06/2023 01:51:34,ESCANER
6942,"El Progreso",4,"San Agustín Acasaguastlán",3,760,380,5,8,3,68,1,37,67,8,11,1,3,6,218,35,9,262,0,262,--,380,118,218,262,262,Algún campo sin dato,1,ab2caf6bdf72d54270e371af2311e76958dbffb2d1771659ad96439cfbe6db6d,26/06/2023 00:26:23,ESCANER
6943,"El Progreso",4,"San Agustín Acasaguastlán",3,760,380,5,0,2,57,1,51,47,2,16,1,1,16,199,35,11,245,0,245,--,380,135,199,245,245,Algún campo sin dato,1,81d846610fe0a8046fe1ea45740bfed33b4a926aa2de109c7203d45ceb0d608f,26/06/2023 02:32:59,ESCANER
6944,"El Progreso",4,"San Agustín Acasaguastlán",3,760,380,3,4,1,57,0,51,40,2,8,0,0,10,176,27,3,206,0,206,--,380,174,176,206,206,Algún campo sin dato,1,6ab441115995d93ce2e23d1ac1169a63a50d515de2b51218fd4fbf7e20a3cef7,25/06/2023 23:13:09,ESCANER
6945,"El Progreso",4,"San Agustín Acasaguastlán",3,760,380,4,4,6,42,3,58,36,5,9,0,0,10,177,26,5,208,0,208,--,380,172,177,208,208,Algún campo sin dato,1,492cc8a1a36c88379759b2d4b76af065a6e2828d5e180d117d496afeab391cb7,26/06/2023 02:07:49,ESCANER
6946,"El Progreso",4,"San Agustín Acasaguastlán",3,760,380,7,3,0,52,0,41,43,2,15,1,0,7,171,33,7,211,0,211,--,380,169,171,211,211,Algún campo sin dato,1,6156b92154407fd35b58b5cc459b3c062c608b3f5c5f0b91a5c28aebebcbc93e,25/06/2023 23:34:26,ESCANER
6947,"El Progreso",4,"San Agustín Acasaguastlán",3,760,380,5,3,3,52,0,42,40,6,11,1,1,8,172,15,8,195,0,195,--,380,185,172,195,195,Algún campo sin dato,1,bb03bf2b941714c6689edb6997f4c5dd65b2afd1a542b41eb051f3d81947327a,26/06/2023 01:02:28,ESCANER
