TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
78,78,100.0000,78,100.0000,0,27716,18817,67.8921

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,BIEN,UNE,CABAL,MLP,VAMOS,P A N,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7070,"El Progreso",4,"Sanarate",7,783,387,8,2,44,109,0,106,0,0,4,273,2,0,275,0,275,--,387,112,273,275,275,Algún campo sin dato,1,cf7b1c86f308711b03b41836251832b0cb204cbe7dc07dd2b67eab6929842877,25/06/2023 23:05:19,ESCANER
7071,"El Progreso",4,"Sanarate",7,784,400,4,1,51,84,0,137,0,1,4,282,11,3,296,0,296,--,400,104,282,296,296,Algún campo sin dato,1,b753b897e5f19134a0e6687304fdc8d109cb5167424453c52e2899d3f99f182a,26/06/2023 00:46:39,ESCANER
7072,"El Progreso",4,"Sanarate",7,784,218,6,3,17,45,1,54,0,0,4,130,2,0,132,0,132,--,218,86,130,132,132,Algún campo sin dato,1,ccb0264224efea56422e3ef1561701dc90f06cd6417d9c68d2697434ba1ed3f5,25/06/2023 21:42:10,ESCANER
7073,"El Progreso",4,"Sanarate",7,784,217,8,2,26,52,0,51,0,0,8,147,3,0,150,0,150,--,217,67,147,150,150,Algún campo sin dato,1,37647c3b3ef4a914ceee88a65834f8b43252910703d743cbd340329a1929c7a4,25/06/2023 22:51:27,ESCANER
7074,"El Progreso",4,"Sanarate",7,785,295,12,8,20,60,1,75,1,0,5,182,4,3,189,0,189,--,--,--,182,189,189,Algún campo sin dato,1,2c073b76cbce5b761b9d06b25e046c5d25ca2f5a0f87233b370adc5ac7bd3fa9,25/06/2023 21:50:10,ESCANER
7075,"El Progreso",4,"Sanarate",7,786,206,4,2,31,41,1,54,0,0,4,137,9,2,148,0,148,--,206,58,137,148,148,Algún campo sin dato,1,927be0522cf6585cbcfa859361b6a18882a7b980c8034fccb154bdf20fb9332f,25/06/2023 23:15:02,ESCANER
7076,"El Progreso",4,"Sanarate",7,787,400,13,5,91,104,0,66,1,0,6,286,8,0,294,0,294,--,400,106,286,294,294,Algún campo sin dato,1,4260401f3c611f52e7cf1ac9759eb022bda21ca44aa47c1f7301340f4bc32121,26/06/2023 00:55:41,ESCANER
7077,"El Progreso",4,"Sanarate",7,787,400,12,4,79,97,1,95,0,0,11,299,12,7,318,0,318,--,400,82,299,318,318,Algún campo sin dato,1,1a3d014f4259da877c397a8a75a3b3320563fa67e2c4b55de01581fdd0d88473,26/06/2023 00:24:19,ESCANER
7078,"El Progreso",4,"Sanarate",7,787,400,7,6,77,93,1,65,0,0,7,256,7,1,264,0,264,--,400,136,256,264,264,Algún campo sin dato,1,53320ae85fd9ec21239c3a533dd9debf692f9be39fbcf622d31bb07bd205cfb2,25/06/2023 23:37:06,ESCANER
7079,"El Progreso",4,"Sanarate",7,787,400,9,1,93,79,4,65,1,0,4,256,5,1,262,0,262,--,399,137,256,262,262,Algún campo sin dato,1,98dd2658e5caacfefc11733f5a93cc36a8a4f7c33a9f1c2cb9a2a003b0ada92e,26/06/2023 00:11:32,ESCANER
