TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
346,346,100.0000,346,100.0000,0,126904,83034,65.4305

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,VALOR,TODOS,UNE,PODEMOS,PIN,VAMOS,MLP,P A N,PHG,BIEN,URNG-MAIZ WINAQ,CREO,MI FAMILIA,FCN-NACION,CAMBIO,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6846,"El Progreso",4,"Guastatoya",1,744,380,6,8,80,0,4,8,0,116,1,0,0,1,1,41,2,1,0,0,269,34,15,318,0,318,--,380,61,269,318,318,Algún campo sin dato,1,ca3a0e1ff43a174645d5a39e63a2cb0d57850eb52d36752eb98efec509683118,26/06/2023 01:07:16,ESCANER
6847,"El Progreso",4,"Guastatoya",1,744,380,9,10,77,1,6,8,1,115,0,0,0,2,0,44,0,1,0,2,276,26,19,321,0,321,--,377,56,276,321,321,Algún campo sin dato,1,7cfd55f7df4693ebd5054a28e832d416617da35e21fb93f43e4350064b534ef2,25/06/2023 23:55:17,ESCANER
6848,"El Progreso",4,"Guastatoya",1,744,380,6,15,69,3,3,18,0,92,1,0,1,4,1,35,1,1,0,0,250,26,10,286,0,286,--,381,95,250,286,286,Algún campo sin dato,1,270df5d09debeb0d4661d3e1b6b2b0fdd76596720a623433fc73dde10ce8535b,25/06/2023 23:38:54,ESCANER
6849,"El Progreso",4,"Guastatoya",1,744,380,6,10,86,2,1,9,0,91,0,0,0,1,2,58,0,0,0,0,266,18,12,296,0,296,--,380,84,266,296,296,Algún campo sin dato,1,5f1cae9e7b6c32092df0b670afd40962fd29fcf6c60271af064b72f2b4472ff7,25/06/2023 22:58:12,ESCANER
6850,"El Progreso",4,"Guastatoya",1,744,350,7,9,95,0,0,22,0,65,1,0,1,5,2,42,1,2,0,0,252,13,7,272,0,272,--,350,78,252,272,272,Algún campo sin dato,1,a249db5c258e4a5dac5aed293653625d3a2d4a28294a0e9108a10bec5f37d7c7,26/06/2023 00:31:34,ESCANER
6851,"El Progreso",4,"Guastatoya",1,744,350,15,9,83,0,0,16,0,85,0,0,1,3,2,41,1,2,0,0,258,10,6,274,0,274,--,350,76,258,274,274,Algún campo sin dato,1,b77432b08471122e83da2314e9c5bc0ffbd066d20d201bd9ad56cdb0c3542bef,26/06/2023 00:05:57,ESCANER
6852,"El Progreso",4,"Guastatoya",1,745,380,5,11,110,1,10,1,1,90,0,1,1,3,1,0,1,0,1,0,237,21,28,286,0,286,--,380,94,237,286,286,Algún campo sin dato,1,d2fae60f6886b3b08290998d0e259ad62a1e52540442dcf0a125e686a9682894,26/06/2023 02:35:33,ESCANER
6853,"El Progreso",4,"Guastatoya",1,745,378,7,3,108,1,9,5,0,96,0,1,0,5,1,0,0,0,3,1,240,16,15,271,0,271,--,378,107,240,271,271,Algún campo sin dato,1,bc210bf2a9879be252bb5c7f4c97b7020a2e87823a6bd939a2d3272e6afd29a0,26/06/2023 02:08:50,ESCANER
6854,"El Progreso",4,"Guastatoya",1,745,378,5,7,99,1,6,7,0,76,0,2,0,5,1,1,2,1,3,1,217,18,11,246,0,246,--,378,132,217,246,246,Algún campo sin dato,1,2e0347889d41c725b29e0cffe6afe88fa99e60164d1a7caf2cb1df1e7e4985fa,26/06/2023 01:47:09,ESCANER
6855,"El Progreso",4,"Guastatoya",1,746,380,15,10,98,11,0,14,0,74,0,0,2,1,0,3,2,2,1,1,239,40,20,299,0,--,--,381,82,234,294,294,Sumas Asentadas sin cuadrar,1,8b8792ac77c6b4520bee89f9046b958a094979970cc2cece03decaeb6e975728,25/06/2023 23:50:59,ESCANER
6856,"El Progreso",4,"Guastatoya",1,746,380,11,12,102,7,5,14,0,68,0,2,1,6,2,5,2,0,0,0,237,41,19,297,0,297,--,380,83,237,297,297,Algún campo sin dato,1,2b267212c2f35a8ea0456043ea422a01a43682748145ef686251e027c335e003,26/06/2023 01:03:23,ESCANER
6857,"El Progreso",4,"Guastatoya",1,746,380,14,16,96,6,4,15,1,75,0,0,2,8,1,2,0,1,1,0,242,40,23,305,0,305,--,400,95,242,305,305,Algún campo sin dato,1,b625612d8900f69b19f55d6978f2f388a12f499d4b9ffda8f1d27bb868db8a01,26/06/2023 03:26:31,ESCANER
6858,"El Progreso",4,"Guastatoya",1,746,380,17,13,91,5,7,13,0,56,1,0,0,3,2,4,3,1,1,0,217,31,13,261,0,261,--,380,119,217,261,261,Algún campo sin dato,1,644c398054ecffa1c9a79f1664704544fa88ecce94552ab54626201eeb2636e0,26/06/2023 00:49:36,ESCANER
6859,"El Progreso",4,"Guastatoya",1,746,380,15,11,115,2,3,15,0,54,0,0,1,2,2,1,1,0,0,2,224,22,10,256,0,256,--,380,124,224,256,256,Algún campo sin dato,1,1a99e069335bb7948cb62235532a51efc844f9939efba0d2ab5ce7d99d399001,26/06/2023 04:02:32,ESCANER
6860,"El Progreso",4,"Guastatoya",1,746,380,18,15,79,5,9,22,1,59,1,0,1,4,2,3,1,0,0,1,221,39,5,265,0,265,--,379,114,221,265,265,Algún campo sin dato,1,7e04afc7f890655abdceb8098ae75751b8c1d9c0d3b3962d435c5d55c53d21b8,26/06/2023 02:54:33,ESCANER
6861,"El Progreso",4,"Guastatoya",1,746,380,16,11,78,4,5,19,1,72,1,0,0,3,3,1,2,1,1,1,219,36,9,264,0,264,--,380,116,219,264,264,Algún campo sin dato,1,2eb83b5715646b44f01953e10f6ebe0d1708c2d07b428b385774ca44cf5d578c,26/06/2023 03:31:28,ESCANER
6862,"El Progreso",4,"Guastatoya",1,746,380,18,16,86,1,8,26,0,58,0,1,2,1,2,3,0,0,1,1,224,24,9,257,0,257,--,380,123,224,257,257,Algún campo sin dato,1,5bba84ba976fdd56eabb0fa7ab5f57931ab29b7dde8ceae72e4a21a9563a1c35,26/06/2023 03:03:32,ESCANER
6863,"El Progreso",4,"Guastatoya",1,746,302,11,17,94,1,0,16,0,57,1,1,0,0,3,3,1,1,2,0,208,9,2,219,0,219,--,302,83,208,219,219,Algún campo sin dato,1,5547538c9039916da3a025b30c6b3e38580be69d9874b5f81f73067206b5cf50,26/06/2023 00:07:56,ESCANER
6864,"El Progreso",4,"Guastatoya",1,746,302,14,6,67,3,6,9,0,43,2,0,0,2,0,1,1,0,0,0,154,8,7,169,0,169,--,302,133,154,169,169,Algún campo sin dato,1,42ea767945ab678978eda38b0ea52714ef86971a2fbacf12b2e76a3ab28b183a,26/06/2023 01:50:38,ESCANER
6865,"El Progreso",4,"Guastatoya",1,747,380,2,5,68,0,6,15,0,76,1,2,0,3,1,1,1,1,0,1,183,27,30,240,0,240,--,380,140,183,240,240,Algún campo sin dato,1,12367691ae7fba102badbca45e0b08bc4e520dd2b99a72b36984dcb93a3e2680,25/06/2023 22:59:26,ESCANER
6866,"El Progreso",4,"Guastatoya",1,747,380,4,3,78,0,10,15,1,92,0,0,0,2,0,3,1,3,1,1,214,20,30,264,--,264,--,380,116,214,264,264,Algún campo sin dato,1,987aa1df8456f050abfdf73c75f5dcb2690921353dafb5897f9bd91b519227e2,26/06/2023 01:10:54,ESCANER
6867,"El Progreso",4,"Guastatoya",1,747,342,2,2,63,1,7,16,0,68,1,0,0,3,2,6,1,0,0,0,172,23,21,216,0,216,--,342,126,172,216,216,Algún campo sin dato,1,550ba191e500db1ab51fd9ccb083a0879be09eab0c79ca51b4513bee4d388122,25/06/2023 22:13:47,ESCANER
6868,"El Progreso",4,"Guastatoya",1,747,342,4,1,82,0,3,24,0,88,1,0,0,0,4,1,0,0,0,0,208,12,7,227,0,227,--,342,115,208,227,227,Algún campo sin dato,1,9c5bf8204616c342c41552e481fabb3a03ddcba69efa4c2dbefb05829b7359ce,26/06/2023 00:56:18,ESCANER
6869,"El Progreso",4,"Guastatoya",1,748,468,8,12,27,2,4,18,0,17,0,0,0,2,5,5,0,0,1,0,101,17,7,125,0,125,--,467,342,101,125,125,Algún campo sin dato,1,232365bfdae613708e6998e182e81e326d091336ed04cd77057f3d195b929c3f,26/06/2023 01:14:32,ESCANER
